x,y,z
1.036645347559508878e-01,2.241917903001312551e-01,3.789210370868452173e+02
-5.895376441010335977e-02,6.572534267772700556e-02,4.000253243951586342e+02
-2.481649749489614476e-01,2.042484650220890430e-01,3.932945184980185331e+02
2.555904025990646256e-01,-1.163615906786653609e-01,3.819888576284849933e+02
1.712530102388302167e-01,-3.046750097536560231e-02,3.922560753113553460e+02
1.037750268048878710e-01,-7.971121392551555607e-02,3.980619200933139723e+02
3.821918439154181613e-02,-2.569129895405053432e-02,3.702931122013408753e+02
-2.467740050649917527e-01,-1.611941144088101519e-01,3.905277571321436767e+02
-1.369224881170081898e-01,2.084934388246246773e-01,3.753864298711540073e+02
6.201693999863311380e-02,-4.929520951316074262e-02,3.827201516466366797e+02
-1.665181087886024314e-01,1.738835556353517386e-01,3.654740013744466296e+02
1.945528751353409191e-01,2.410786040268296793e-01,3.858453028008103729e+02
-1.720327753315337993e-01,-1.285495893906608289e-01,3.977562954788148772e+02
-8.735057751539376802e-02,-6.592795293636932730e-02,4.020386025893613464e+02
-1.135020387938519837e-01,-2.442460740946762188e-01,4.048335307481021914e+02
-1.921775033281121758e-01,1.171916267777980414e-01,3.802544507960484452e+02
1.450116437417829918e-01,-1.108768528022546773e-02,3.931348862872470704e+02
2.790175531861556202e-01,1.746239773255673366e-01,3.973782033524343547e+02
-2.044689420044354389e-02,-2.160636889578326780e-02,3.901865032253195409e+02
2.968845325491742404e-01,2.380597750751078934e-01,4.060645764031289673e+02
-9.677292707751861123e-03,-1.430966473904780045e-01,4.079738627545557961e+02
-2.213291143303134367e-01,1.777344082551627347e-01,3.654281062913682945e+02
2.066957274071202777e-01,5.918070888042953337e-02,3.746666553391983143e+02
2.515208964098272215e-01,2.539768166927903748e-01,3.662232912560718319e+02
-1.292417079036684013e-02,-2.845821586480096199e-02,3.804794308087313084e+02
-1.228767466725163293e-01,-2.541600333959309621e-01,3.965102206267235374e+02
-2.408319525740259537e-01,2.195773188278392629e-01,3.657830567046295300e+02
-7.250541253735720559e-02,-4.545460060710176942e-02,3.778151333385523571e+02
1.217229308136095201e-01,2.443053927770609812e-01,3.756938549602706985e+02
-2.131968290981911540e-02,1.937477119902069056e-01,3.749829807289371502e+02
2.503268650400866102e-01,-8.102095103889067618e-02,3.668540717659989809e+02
-3.814983468524640875e-02,2.147371770328734275e-01,3.667237568897849656e+02
-1.856111586620701470e-01,-2.721500640675079130e-01,3.780033538387894509e+02
1.984189261278863636e-01,2.659385124036182102e-01,3.796409443388277509e+02
1.116705648489946245e-02,2.001617987979615876e-01,3.918365295519239453e+02
2.241096343286954617e-01,-2.459550785878277523e-01,3.742126248743544465e+02
2.448510317745707932e-01,-7.058016797780769513e-02,3.741419181242048353e+02
2.581997806067319878e-01,2.040264877188996406e-01,3.966840134661316597e+02
-2.911882141990851935e-01,2.288776616121247498e-01,3.923375627850566616e+02
2.278312386127129274e-01,-1.744143094871972166e-01,4.042208367877314004e+02
5.170582509886595401e-02,-3.571983328785111045e-02,3.766822970335915670e+02
1.293080964344611727e-01,2.415328774227404329e-01,3.807203259074847210e+02
-6.799603612073085168e-02,-2.633164558766873387e-01,4.035159738761449830e+02
-3.319403504915358072e-02,-2.667015198025732836e-01,3.723707860949472774e+02
-1.412366995257561542e-01,-1.209758701672459802e-01,3.976462525456666981e+02
2.633731241984578197e-01,2.212179797192248554e-02,4.045827345436148903e+02
2.933094558348100511e-01,1.054153228090469185e-01,3.948470352730427635e+02
2.302789212877305314e-01,-2.413383136312963195e-01,3.925286831601454196e+02
1.378967724358606817e-01,2.246474079594331652e-01,3.688419675908537556e+02
5.040346939430118134e-03,-1.341225296907168074e-01,4.063436965944133590e+02
1.749980455500238508e-02,-1.863890538466043412e-01,3.736052288901930183e+02
-2.738055914054104978e-01,1.198147419868868524e-01,3.987214407836663099e+02
6.996033148397762247e-02,1.740894042557425969e-01,3.786495497821719596e+02
2.084233145078129290e-01,2.502244957521569946e-01,4.038627423374753107e+02
-2.537356188999674300e-01,2.806209416071286933e-02,3.931526344488305540e+02
-4.794589298234214203e-02,-1.444685688827236081e-01,3.756641518367276262e+02
-1.837853045609890434e-01,2.372889454580349167e-01,4.017685474060361344e+02
1.569245394323992571e-01,-6.061217230745780116e-02,3.862568038680265090e+02
-2.118275486348053516e-02,-2.614846094480220984e-01,4.052264026281675342e+02
-1.222758578061886037e-01,2.067690552094001433e-01,4.013224619257415497e+02
9.106239019368717047e-02,-1.483760299055808807e-01,3.848571715606494763e+02
-1.094096505558211363e-01,-2.352046083240608432e-01,3.875751271887449434e+02
-2.364099115805968210e-01,-1.612410201747794258e-01,4.021380582878588825e+02
-1.945942557125547034e-01,2.303920480977712515e-01,3.787919178359487660e+02
-9.454113422536808420e-02,3.432405049174375167e-02,3.919259672932019498e+02
-1.283194785558564033e-01,-3.037841964171855702e-02,3.904666076535905290e+02
-1.389957279873479390e-01,2.108925654025423091e-01,3.726875760248942129e+02
-2.552133439384207669e-03,1.344643961733021920e-02,3.671087828421656241e+02
-4.035609638917247999e-03,4.474681551862680351e-02,4.055734926922274894e+02
-1.340136660915137445e-01,1.629055738107404450e-01,4.096762866354033008e+02
-8.253846296516992309e-02,2.720868134140840278e-01,4.021986885239194862e+02
1.758911746427100908e-01,2.092696393419142264e-01,4.036575846578684263e+02
-2.592120918367334936e-01,1.480958219735620807e-01,4.090020511502244744e+02
-1.773024479983650037e-01,7.044976989572454551e-02,3.696848562303785002e+02
-1.267826500090679931e-01,-2.046354808002948389e-01,4.012545417055417261e+02
5.964176692103417832e-03,-2.998915991757677424e-01,4.086586624409105184e+02
-1.517926157268655318e-01,-2.357954264759355434e-01,3.762275045115041507e+02
2.389574558299739637e-01,-2.100096767983798407e-01,3.886395833243884681e+02
1.077364145676670826e-01,-9.894859560370938834e-02,3.777885127731509556e+02
-5.713375015282001756e-02,-1.961896065048196469e-02,4.064566134909177890e+02
-2.852934940781124418e-01,-1.192919280624384071e-01,3.968651830007310082e+02
9.435638492505943331e-02,-1.536605425761757848e-01,4.058565079665986559e+02
-2.692198252568387407e-01,-2.153465118690545133e-02,3.840667792702504357e+02
1.760456273236750135e-01,2.050192043502813144e-01,3.995936623485057453e+02
7.109535245487463850e-02,-1.829488357525159425e-01,3.697151901666297249e+02
-1.681164473697127071e-01,2.361146776994795804e-01,4.026139130572444174e+02
-4.050755498514269082e-02,2.298711139177511686e-01,3.914819656211741972e+02
-8.558393505966294112e-02,-1.881005663906191727e-01,3.860566396738952335e+02
4.618327464373717106e-02,-1.492009208858799674e-01,3.784001297729864746e+02
1.274502641343178144e-02,2.314908303750277119e-01,3.976325540783253700e+02
-2.704579794273235249e-01,-8.808330253015028699e-03,3.973616936987171471e+02
2.194234270544337395e-01,-2.343962107474469869e-01,3.753018093014291594e+02
-2.091354667836487491e-01,-2.153324181801220538e-01,3.667392376476734626e+02
-1.724177649856382111e-01,1.756902205935989558e-01,3.802871674252790513e+02
-5.999764113228561735e-02,-4.108878056440407045e-02,4.039089167245301724e+02
-2.433378060093650541e-01,-3.456115567702477964e-03,3.654318895617005865e+02
-2.452778101916138209e-01,2.809166151709030501e-01,3.893855457227550687e+02
-7.679885649085099741e-02,2.747725604425175217e-01,3.978403053121008384e+02
2.491475919453398635e-01,-1.018154350765519411e-01,3.952841247813617542e+02
7.064473888182554173e-02,1.485799411988452112e-01,4.081870398841156771e+02
1.920158445603422637e-01,-2.071532378983247102e-01,3.823189486263738672e+02
1.910736774053714004e-01,3.214575109365369610e-02,3.989410369663722804e+02
2.424442738683677545e-01,-8.688103357127813231e-02,4.024801028613182439e+02
-2.165700755905285713e-01,-1.792691201170003856e-01,3.683629920991087943e+02
2.861965558300514356e-01,-1.455926993537161873e-01,3.877999374627522116e+02
