x,y,z
-9.852241399239952679e-02,2.253158128022880735e-01,3.996362397306392609e+02
2.013226254661980574e-01,-2.234363866014392463e-01,3.884104927397244751e+02
-2.490562394619144637e-02,7.232959296408159044e-03,4.066106563396934348e+02
1.329531341597443017e-01,2.049208285631592963e-01,3.743838783863662911e+02
-2.584245274063436404e-01,2.751124166615648292e-01,3.765958408701520739e+02
-8.227405890294331448e-02,-6.620679127813344778e-02,3.943169682175098956e+02
1.513876590712182058e-01,-2.330735725413601855e-01,3.997144132639796226e+02
2.422245372864985091e-01,-1.027483458700240160e-01,3.728045580779889860e+02
-5.380505758447695630e-02,4.206769949142474818e-02,3.902291318443719206e+02
-1.346667657304102816e-01,-1.082218480120353543e-01,3.889597259723104798e+02
-2.330291318036485371e-01,-1.437748842663993942e-01,3.653946924090314496e+02
1.630331478192389438e-01,1.360066881037236275e-02,3.652939163620488898e+02
-1.906686865882205872e-01,1.732856744351456424e-01,4.003881834494137593e+02
-2.582299911307655571e-01,-2.405586804161453096e-01,4.007125206005686096e+02
-7.586150887731640813e-02,1.231244235102078033e-01,3.895534670139990681e+02
1.887898577630946484e-01,2.901555198834021576e-01,3.912792281069442879e+02
-7.770582505475870372e-02,1.037603663685415789e-02,3.680969199344559115e+02
2.497143028225179417e-01,-1.456139871427730714e-02,4.092401367634844860e+02
2.186061041595004362e-01,2.901117598361575567e-01,4.067274300246455709e+02
-1.547037849319548852e-01,1.079780521738216148e-01,3.738566360723315256e+02
-2.940924156649366017e-02,2.278140718619747762e-01,3.878488837249104222e+02
1.742186320428517066e-01,-1.982774785851633137e-01,3.942067263931756429e+02
8.328223968305897840e-02,1.862986088762799142e-01,3.720712170186774301e+02
-1.109934627550679120e-01,-2.719532430362672781e-01,4.032270981051627814e+02
-9.644497477862989943e-02,-1.496511384459097427e-01,3.753361695127210851e+02
2.267109711008490347e-01,-3.520761727416282794e-02,3.694116369006475793e+02
-2.361645584554113442e-01,-4.288219018762279289e-02,3.870828144540444100e+02
5.092697816361108076e-02,-1.418162967136434305e-01,3.987669230027667595e+02
-1.228792049273430831e-01,-2.185928371390021274e-01,4.023779134624443259e+02
-3.190829100607850410e-02,2.901328650478550708e-01,3.937120304941329323e+02
-2.466052835806986643e-02,-2.166971476231782379e-01,3.952768630051017453e+02
2.419575617739374573e-01,2.046586058645928352e-01,3.948751488692960834e+02
