fertile_kg/m3,energy low [eV],energy high [eV],energy mid [eV],"U235(n,g)","U235(n,g)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","U235(n,fis)","U235(n,fis)_sd","U238(n,fis)","U238(n,fis)_sd","Th232(n,fis)","Th232(n,fis)_sd","U235(n,nufis)","U235(n,nufis)_sd","U238(n,nufis)","U238(n,nufis)_sd","Th232(n,nufis)","Th232(n,nufis)_sd","Li6(n,t)","Li6(n,t)_sd","Li7(n,t)","Li7(n,t)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U235(n,2n)","U235(n,2n)_sd","U238(n,2n)","U238(n,2n)_sd","Th232(n,2n)","Th232(n,2n)_sd","U235(n,inel)","U235(n,inel)_sd","U238(n,inel)","U238(n,inel)_sd","Th232(n,inel)","Th232(n,inel)_sd","U235(n,el)","U235(n,el)_sd","U238(n,el)","U238(n,el)_sd","Th232(n,el)","Th232(n,el)_sd","Li6(n,el)","Li6(n,el)_sd","Li7(n,el)","Li7(n,el)_sd","Be9(n,el)","Be9(n,el)_sd","Pb(n,el)","Pb(n,el)_sd"
1,592053.7562660404,605832.3229770486,598943.0396215445,6.042538185950439e-10,7.588821801603049e-13,6.79856027473989e-08,8.54079631074462e-11,0.0,0.0,4.7406865645923124e-09,5.9535466335805625e-12,6.823963491548182e-10,8.614124404892819e-13,0.0,0.0,1.1798546361743725e-08,1.48171522024375e-11,1.7031190907747352e-09,2.149928518377458e-12,0.0,0.0,0.0005661104739569797,7.108711936964161e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8442654187581184e-08,3.572247879816366e-11,4.6528414547314066e-06,5.8438184227211105e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,605832.3229770486,619931.5512810319,612881.9371290402,4.594815396287772e-10,6.12620085861194e-13,5.095947795465139e-08,6.794429957540853e-11,0.0,0.0,3.641799672150294e-09,4.855605412013517e-12,5.558679220769577e-10,7.411800265841594e-13,0.0,0.0,9.06788358204514e-09,1.209020184474974e-11,1.3879559223946842e-09,1.8506676844044883e-12,0.0,0.0,0.0004268191572163754,5.690720458621744e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1666862256880298e-08,2.8888165595468783e-11,3.5520562512658524e-06,4.735913270388755e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,619931.5512810319,634358.9037725644,627145.2275267981,4.5273931084442956e-10,6.140680263776687e-13,4.902335076641368e-08,6.636001955693901e-11,0.0,0.0,3.6398993463201386e-09,4.942748037079162e-12,5.714228829958636e-10,7.777404658644438e-13,0.0,0.0,9.068273889553923e-09,1.2314703112198791e-11,1.4275363754618928e-09,1.9430436520982335e-12,0.0,0.0,0.00041714114591302916,5.654614850733924e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1393357996433604e-08,2.9021705339052285e-11,3.515928922230877e-06,4.770589294767704e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,634358.9037725644,649122.0167194001,641740.4602459823,5.909866148929572e-10,8.309711108047779e-13,6.249954036672085e-08,8.788609975292521e-11,0.0,0.0,4.817803743384904e-09,6.774133503632884e-12,7.761573726849052e-10,1.0913229396791877e-12,0.0,0.0,1.2009283448195962e-08,1.6885795434710552e-11,1.939926627125477e-09,2.727653681550833e-12,0.0,0.0,0.0005411972089789459,7.610005876896541e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.799706881879346e-08,3.936659175252231e-11,4.611460402043383e-06,6.4841291440709805e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,649122.0167194001,664228.7041042784,656675.3604118392,6.744597821627642e-10,9.992838078589821e-13,7.326633028920556e-08,1.0826566716120012e-10,0.0,0.0,5.5734957340833225e-09,8.254752983377706e-12,9.633086216827022e-10,1.4217986664703802e-12,0.0,0.0,1.390060044412236e-08,2.0587458035710666e-11,2.4090025803960977e-09,3.5555236441146647e-12,0.0,0.0,0.0006151898063910696,9.115831284950199e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2086243486068654e-08,4.753275171373692e-11,5.2960676300414975e-06,7.845118621306586e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,664228.7041042784,679686.961760795,671957.8329325367,6.323403331197511e-10,9.61020953386431e-13,7.49647799750519e-08,1.1409659365373864e-10,0.0,0.0,5.2899634507955315e-09,8.041079573288071e-12,1.0282521877011748e-09,1.56627025897935e-12,0.0,0.0,1.3200911404585815e-08,2.0066394841100166e-11,2.5727521627302324e-09,3.9189480222444365e-12,0.0,0.0,0.0005752382431608834,8.74210344383284e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.022020316745083e-08,4.593129134677368e-11,4.998985581108593e-06,7.598141054645325e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,679686.961760795,695504.9716055216,687595.9666831583,6.759437736283049e-10,9.136090918844947e-13,8.735769776533232e-08,1.1816738056678204e-10,0.0,0.0,5.728835957242133e-09,7.743875078364411e-12,1.24305926388383e-09,1.682201951057973e-12,0.0,0.0,1.4304563507241825e-08,1.9336086001553426e-11,3.1118142258726445e-09,4.211177775121094e-12,0.0,0.0,0.0006139835763065587,8.298600987517931e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.246228460642032e-08,4.387774129690607e-11,5.378524135664924e-06,7.270495288972276e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,695504.9716055216,711691.1059686318,703598.0387870767,7.44740875292604e-10,8.381178944294284e-13,1.01317827213598e-07,1.1393815487631359e-10,0.0,0.0,6.40510174430724e-09,7.2172622112362445e-12,1.5510216904640353e-09,1.7645769052796016e-12,0.0,0.0,1.600317026115496e-08,1.8033255523796568e-11,3.884993396017287e-09,4.420138459688931e-12,0.0,0.0,0.0006763735907412491,7.61223704900935e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.596328104515471e-08,4.049119794950631e-11,5.977995811525977e-06,6.731351582164739e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,711691.1059686318,728253.9320252837,719972.5189969577,6.231868674434309e-10,7.870036348729147e-13,8.217005867464213e-08,1.0398831871525831e-10,0.0,0.0,5.456152802568763e-09,6.883523139335221e-12,1.4866224108562915e-09,1.8654294062791467e-12,0.0,0.0,1.3641466459215004e-08,1.7209542074531234e-11,3.725834764093669e-09,4.6751147592558055e-12,0.0,0.0,0.0005666220039531873,7.155208699037437e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0293543221411656e-08,3.824236094085961e-11,5.039309374134159e-06,6.361368163685423e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,728253.9320252837,745202.216330159,736728.0741777213,6.637357060267024e-10,8.530924605198051e-13,8.406499520538427e-08,1.0797331681638422e-10,0.0,0.0,5.925854991989303e-09,7.619119502364337e-12,1.8077914575251818e-09,2.329473960982877e-12,0.0,0.0,1.4826573423311843e-08,1.906339815769348e-11,4.5331293913777884e-09,5.841361204068666e-12,0.0,0.0,0.0006042887358785063,7.767041392540372e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.250232320787359e-08,4.178036264092949e-11,5.412768298752521e-06,6.958036730409096e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,745202.216330159,762544.9294575193,753873.5728938391,5.940735653267351e-10,6.891834609020763e-13,7.385870736300589e-08,8.547337694544478e-11,0.0,0.0,5.394095345815924e-09,6.257853414899559e-12,1.8938898190261888e-09,2.188432310996188e-12,0.0,0.0,1.3505863873589923e-08,1.566834820686991e-11,4.7519874554537766e-09,5.491036939158085e-12,0.0,0.0,0.0005420299936363484,6.287260566564004e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.931071194280206e-08,3.39984191105628e-11,4.88942159394336e-06,5.67126881026435e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,762544.9294575193,780291.2507492471,771418.0901033832,6.150345634960627e-10,9.70761131807827e-13,7.995590293373027e-08,1.2603119727340172e-10,0.0,0.0,5.628361377239476e-09,8.882017661858105e-12,2.4485840814079187e-09,3.846011649040856e-12,0.0,0.0,1.4102779716434146e-08,2.22548579427368e-11,6.1474785305350355e-09,9.65581200958142e-12,0.0,0.0,0.0005627375191570297,8.881671063056446e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.055426099166724e-08,4.821723136741878e-11,5.10048151737149e-06,8.048937007326615e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,780291.2507492471,798450.5731734011,789370.911961324,5.830149058624374e-10,8.620205104938764e-13,7.953293250714649e-08,1.1768118200823014e-10,0.0,0.0,5.371152733966256e-09,7.942284466616806e-12,2.825329255405898e-09,4.193930552375866e-12,0.0,0.0,1.3468684209717774e-08,1.9916261496466673e-11,7.097515105005226e-09,1.053577745149309e-11,0.0,0.0,0.0005344703473785426,7.902653150427535e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9156025628690953e-08,4.311276255348331e-11,4.868302616255883e-06,7.1987424837086574e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,798450.5731734011,817032.5082958105,807741.5407346059,4.87389223358155e-10,6.941682389834308e-13,6.8792944513484e-08,9.803605675138683e-11,0.0,0.0,4.538449815416262e-09,6.467020136939653e-12,2.8142164409521268e-09,4.0347754206687814e-12,0.0,0.0,1.138929449878868e-08,1.622945346465654e-11,7.07399631034161e-09,1.0142377640187997e-11,0.0,0.0,0.0004481118480510204,6.383064727557201e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4536453023144994e-08,3.495336077268895e-11,4.100095847935214e-06,5.841033722260817e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,817032.5082958105,836046.8913674038,826539.6998316072,5.405794875806888e-10,6.589116682867554e-13,7.759718639464808e-08,9.456139938200751e-11,0.0,0.0,5.122735731951324e-09,6.2425999023921385e-12,3.729962884869802e-09,4.542336381121583e-12,0.0,0.0,1.2866205975453543e-08,1.5678692833594825e-11,9.382351394325154e-09,1.1425849324093047e-11,0.0,0.0,0.0004990894409773466,6.082955979710311e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.739763409454865e-08,3.339138353072818e-11,4.586414048398518e-06,5.589655675662801e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
