Th-232(n,g) ENDFB-8.0
Energy(eV) XS(b)
12.8160 0.104211
12.8426 0.105427
12.8691 0.107127
12.8824 0.108277
12.8957 0.109755
12.9090 0.111738
12.9156 0.113005
12.9222 0.114520
12.9289 0.116356
12.9355 0.118594
12.9421 0.121349
12.9488 0.124743
12.9541 0.128033
12.9594 0.131935
12.9647 0.136555
12.9700 0.142017
12.9753 0.148451
12.9806 0.155999
12.9859 0.164811
12.9912 0.175017
12.9965 0.186805
13.0019 0.200299
13.0072 0.215627
13.0098 0.224028
13.0125 0.232891
13.0151 0.242291
13.0178 0.252162
13.0231 0.273471
13.0284 0.296798
13.0337 0.322015
13.0383 0.345150
13.0428 0.369423
13.0474 0.394714
13.0519 0.420811
13.0701 0.527787
13.0747 0.553545
13.0792 0.578183
13.0838 0.601326
13.0883 0.622605
13.0940 0.646059
13.0997 0.665423
13.1039 0.676706
13.1080 0.685334
13.1130 0.691960
13.1179 0.694503
13.1187 0.694528
13.1212 0.693936
13.1237 0.692312
13.1286 0.686012
13.1331 0.676881
13.1376 0.664699
13.1427 0.647643
13.1477 0.627413
13.1523 0.606375
13.1569 0.583408
13.1615 0.558848
13.1661 0.533085
13.1837 0.430308
13.1926 0.380415
13.1970 0.356712
13.2014 0.334050
13.2062 0.310528
13.2110 0.288591
13.2158 0.268269
13.2206 0.249602
13.2255 0.232594
13.2303 0.217215
13.2351 0.203411
13.2399 0.191105
13.2448 0.180183
13.2496 0.170590
13.2544 0.162191
13.2592 0.154875
13.2640 0.148532
13.2689 0.143055
13.2737 0.138342
13.2785 0.134297
13.2856 0.129355
13.2928 0.125436
13.2999 0.122328
13.3070 0.119861
13.3141 0.117887
13.3213 0.116299
13.3284 0.115010
13.3355 0.113954
13.3498 0.112341
13.3640 0.111185
13.3925 0.109661
13.4210 0.108734
13.4496 0.108147
13.5066 0.107552
13.5602 0.107402
13.6944 0.107816
13.8286 0.108791
14.0969 0.111427
14.3652 0.114687
14.6335 0.118491
14.9019 0.122860
15.1702 0.127838
15.4385 0.133493
15.7068 0.139932
15.9483 0.146507
16.1898 0.153928
16.4313 0.162327
16.5521 0.166923
16.6728 0.171864
16.7935 0.177098
16.9143 0.182734
17.0350 0.188739
17.1558 0.195177
17.2765 0.202022
17.3973 0.209451
17.5180 0.217461
17.6388 0.226105
17.7863 0.237630
17.9339 0.250350
18.0815 0.264436
18.2291 0.280094
18.3767 0.297570
18.5242 0.317165
18.5980 0.327868
18.6718 0.339244
18.7456 0.351353
18.8194 0.364259
18.9267 0.384615
19.0340 0.407085
19.1414 0.431985
19.2487 0.459684
19.3560 0.490542
19.4097 0.507343
19.4634 0.525209
19.5170 0.544228
19.5707 0.564477
19.6244 0.586070
19.6780 0.609125
19.7585 0.646778
19.8390 0.688614
19.9195 0.735326
19.9598 0.760763
20.0000 0.787738
20.0666 0.836145
20.1332 0.889844
20.1998 0.949694
20.2664 1.01673
20.2997 1.05333
20.3330 1.09220
20.3663 1.13356
20.3996 1.17760
20.4329 1.22460
20.4662 1.27486
20.4995 1.32873
20.5328 1.38660
20.5714 1.45918
20.6099 1.53843
20.6485 1.62523
20.6870 1.72060
20.7256 1.82579
20.7642 1.94226
20.8027 2.07175
20.8413 2.21635
20.8763 2.36317
20.9114 2.52692
20.9289 2.61606
20.9464 2.71050
20.9640 2.81081
20.9815 2.91737
20.9990 3.03086
21.0165 3.15186
21.0341 3.28106
21.0516 3.41917
21.0691 3.56725
21.0866 3.72615
21.1042 3.89720
21.1217 4.08151
21.1410 4.30159
21.1603 4.54196
21.1795 4.80531
21.1988 5.09478
21.2181 5.41406
21.2374 5.76756
21.2567 6.16055
21.2759 6.59939
21.2856 6.83835
21.2952 7.09180
21.3049 7.36099
21.3145 7.64729
21.3241 7.95227
21.3338 8.27765
21.3434 8.62538
21.3531 8.99768
21.3627 9.39703
21.3723 9.82628
21.3820 10.2887
21.3916 10.7880
21.4013 11.3284
21.4109 11.9152
21.4205 12.5541
21.4302 13.2515
21.4407 14.0907
21.4512 15.0239
21.4617 16.0681
21.4670 16.6384
