cell,energy low [eV],energy high [eV],nuclide,score,mean,std. dev.,energy mid [eV]
31,0.010426176141908838,0.01091662254025284,total,flux,4.4209554748247235e-09,4.4209554748247235e-09,0.010671399341080839
31,0.01091662254025284,0.011430139493551475,total,flux,1.2056446145185656e-08,6.77336224246802e-09,0.011173381016902156
31,0.011430139493551475,0.011967812238657767,total,flux,1.759329633675688e-09,1.7593296336756879e-09,0.01169897586610462
31,0.011967812238657767,0.012530777061869775,total,flux,4.14166089552011e-09,3.910261181548807e-09,0.01224929465026377
31,0.012530777061869775,0.01312022370029195,total,flux,1.2825958555356498e-09,1.2825958555356498e-09,0.012825500381080861
31,0.01312022370029195,0.013737397856156318,total,flux,0.0,0.0,0.013428810778224134
31,0.013737397856156318,0.014383603829417092,total,flux,1.71716779449607e-08,9.98630263496441e-09,0.014060500842786705
31,0.014383603829417092,0.015060207274182318,total,flux,0.0,0.0,0.014721905551799705
31,0.015060207274182318,0.01576863808480783,total,flux,5.1059985569953174e-09,3.539393720270882e-09,0.015414422679495074
31,0.01576863808480783,0.016510393417752758,total,flux,0.0,0.0,0.016139515751280295
31,0.016510393417752758,0.017287040855582907,total,flux,4.152766814939548e-09,3.565634699119391e-09,0.01689871713666783
31,0.017287040855582907,0.018100221719808556,total,flux,1.2945662546034921e-08,8.965860935896025e-09,0.01769363128769573
31,0.018100221719808556,0.01895165453955782,total,flux,1.3938442693983003e-08,7.227013277914217e-09,0.018525938129683187
31,0.01895165453955782,0.019843138683416164,total,flux,2.088452055145483e-08,1.5731686984713988e-08,0.01939739661148699
31,0.019843138683416164,0.020776558162107252,total,flux,8.444298883401903e-09,6.262848599158991e-09,0.020309848422761706
31,0.020776558162107252,0.021753885610051614,total,flux,1.7621610578889225e-08,9.29505099862831e-09,0.021265221886079433
31,0.021753885610051614,0.02277718645421747,total,flux,1.3131128821913258e-08,1.1720340739554051e-08,0.02226553603213454
31,0.02277718645421747,0.023848623279073906,total,flux,7.182714599106306e-08,2.7738357923279754e-08,0.023312904866645688
31,0.023848623279073906,0.02497046039687107,total,flux,3.002225417658004e-08,1.8413812522679218e-08,0.02440954183797249
31,0.02497046039687107,0.026145068632905992,total,flux,4.544197183212279e-08,2.306323543836543e-08,0.02555776451488853
31,0.026145068632905992,0.02737493033588676,total,flux,3.065644217902392e-08,1.43725124370147e-08,0.026759999484396377
31,0.02737493033588676,0.02866264462398391,total,flux,6.390708160021105e-08,2.5101430783764197e-08,0.028018787479935338
31,0.02866264462398391,0.03001093287765553,total,flux,9.406945620924735e-08,4.16907816336233e-08,0.02933678875081972
31,0.03001093287765553,0.031422644490854405,total,flux,7.275176202935985e-08,2.5477825813220344e-08,0.030716788684254967
31,0.031422644490854405,0.03290076289277141,total,flux,5.4754224787510315e-08,3.566514930848184e-08,0.03216170369181291
31,0.03290076289277141,0.034448411852841206,total,flux,1.198090692599733e-07,4.7617312141088156e-08,0.033674587372806306
31,0.034448411852841206,0.0360688620823348,total,flux,1.186785996702532e-07,4.1775521725395806e-08,0.035258636967588006
31,0.0360688620823348,0.03776553814649047,total,flux,1.0377730868479565e-07,3.573997792579146e-08,0.03691720011441263
31,0.03776553814649047,0.039542025701790676,total,flux,7.212217279891282e-08,2.734992672564001e-08,0.03865378192414057
31,0.039542025701790676,0.041402079073679966,total,flux,1.4558943591260488e-07,3.547761287371275e-08,0.040472052387735324
31,0.041402079073679966,0.04334962919073777,total,flux,1.7635665366654307e-07,4.711359587836916e-08,0.04237585413220887
31,0.04334962919073777,0.04538879189207431,total,flux,2.568692838151933e-07,4.872871454557111e-08,0.04436921054140604
31,0.04538879189207431,0.04752387662550542,total,flux,2.252908425785652e-07,4.6486779260913845e-08,0.046456334258789866
31,0.04752387662550542,0.04975939555488892,total,flux,2.4005067040052247e-07,6.468059327701703e-08,0.04864163609019717
31,0.04975939555488892,0.052100073095869136,total,flux,1.8304993126577377e-07,3.877023502897851e-08,0.05092973432537903
31,0.052100073095869136,0.05455085590018209,total,flux,3.703261283730271e-07,6.883580708515637e-08,0.05332546449802561
31,0.05455085590018209,0.057116923309621495,total,flux,3.1061409142307545e-07,5.642946730371634e-08,0.05583388960490179
31,0.057116923309621495,0.059803698301758336,total,flux,2.597746903681122e-07,4.4944923873837664e-08,0.05846031080568992
31,0.059803698301758336,0.06261685895054618,total,flux,3.2836403078116657e-07,5.0886593608911376e-08,0.06121027862615226
31,0.06261685895054618,0.06556235042603231,total,flux,4.473349446871714e-07,7.991389625798054e-08,0.06408960468828925
31,0.06556235042603231,0.06864639755853433,total,flux,3.5884738838842534e-07,7.605892822878905e-08,0.06710437399228332
31,0.06864639755853433,0.07187551799383418,total,flux,5.11587369435632e-07,8.33317382611129e-08,0.07026095777618425
31,0.07187551799383418,0.07525653596719173,total,flux,6.719145093899725e-07,7.88501350419053e-08,0.07356602698051296
31,0.07525653596719173,0.07879659672528647,total,flux,6.630261416811146e-07,7.90189845222964e-08,0.0770265663462391
31,0.07879659672528647,0.08250318162656611,total,flux,6.531418968960373e-07,9.573731173212245e-08,0.08064988917592629
31,0.08250318162656611,0.08638412395191439,total,flux,7.904577872225888e-07,1.451618263324409e-07,0.08444365278924025
31,0.08638412395191439,0.090447625459051,total,flux,8.334776018728396e-07,1.0807181701802961e-07,0.08841587470548269
31,0.090447625459051,0.09470227371564925,total,flux,9.980887552535472e-07,1.1290062907494774e-07,0.09257494958735013
31,0.09470227371564925,0.099157060247802,total,flux,1.100513306796398e-06,1.372267966604413e-07,0.09692966698172563
31,0.099157060247802,0.10382139954218973,total,flux,1.091207846437311e-06,1.5363547084604925e-07,0.10148922989499587
31,0.10382139954218973,0.10870514894210906,total,flux,1.4325677090770947e-06,1.0903575866036882e-07,0.1062632742421494
31,0.10870514894210906,0.1138186294794084,total,flux,1.7396365985937962e-06,1.125382755436616e-07,0.11126188921075873
31,0.1138186294794084,0.11917264768635635,total,flux,1.7971458059327448e-06,2.2344746637868667e-07,0.11649563858288238
31,0.11917264768635635,0.1247785184335382,total,flux,2.0268428001087544e-06,1.8584856848044715e-07,0.12197558305994727
31,0.1247785184335382,0.13064808884204515,total,flux,2.347099190448001e-06,1.9529147869955086e-07,0.12771330363779168
31,0.13064808884204515,0.1367937633204908,total,flux,2.4633321034057765e-06,1.700359714962732e-07,0.13372092608126798
31,0.1367937633204908,0.1432285297797666,total,flux,2.5336437390740185e-06,2.136400308544463e-07,0.1400111465501287
31,0.1432285297797666,0.14996598708093709,total,flux,2.9685918703514172e-06,2.0068647976299504e-07,0.14659725843035185
31,0.14996598708093709,0.15702037377428169,total,flux,3.4382179427108263e-06,2.2747885757901863e-07,0.1534931804276094
31,0.15702037377428169,0.16440659819021855,total,flux,3.9814176899246184e-06,2.79425529866082e-07,0.1607134859822501
31,0.16440659819021855,0.1721402699457026,total,flux,4.271938385132296e-06,2.461530025726828e-07,0.16827343406796058
31,0.1721402699457026,0.18023773293268194,total,flux,4.190137154302702e-06,2.939267977500451e-07,0.17618900143919228
31,0.18023773293268194,0.1887160998583282,total,flux,4.920196584484625e-06,2.654899233276122e-07,0.18447691639550506
31,0.1887160998583282,0.19759328841003618,total,flux,5.1849771595186715e-06,2.4102269119308803e-07,0.19315469413418218
31,0.19759328841003618,0.20688805912162206,total,flux,6.00529152696352e-06,2.581747362964078e-07,0.2022406737658291
31,0.20688805912162206,0.21662005502074405,total,flux,7.51098125970426e-06,4.0785867823088405e-07,0.21175405707118305
31,0.21662005502074405,0.226809843141334,total,flux,7.113810162743049e-06,3.8729613641577003e-07,0.22171494908103903
31,0.226809843141334,0.2374789579887712,total,flux,8.30376817974011e-06,4.2467303852062024e-07,0.2321444005650526
31,0.2374789579887712,0.24864994704965193,total,flux,9.17535930840165e-06,4.695992716424985e-07,0.24306445251921155
31,0.24864994704965193,0.26034641844233664,total,flux,1.0536255607168548e-05,4.0004593457968866e-07,0.2544981827459943
31,0.26034641844233664,0.2725930908089736,total,flux,1.1322738368706772e-05,3.958616377991508e-07,0.26646975462565514
31,0.2725930908089736,0.28541584555443905,total,flux,1.1984610983273456e-05,5.249148852226349e-07,0.2790044681817063
31,0.28541584555443905,0.29884178154259267,total,flux,1.3668098750642388e-05,5.060522492859141e-07,0.29212881354851583
31,0.29884178154259267,0.31289927236543963,total,flux,1.4604394192795336e-05,5.055219557155234e-07,0.3058705269540162
31,0.31289927236543963,0.3276180263062294,total,flux,1.58227314990153e-05,4.334346611755665e-07,0.3202586493358345
31,0.3276180263062294,0.34302914912321286,total,flux,1.8221812043644936e-05,7.866980104146573e-07,0.33532358771472115
31,0.34302914912321286,0.3591652097867426,total,flux,1.9750903292679576e-05,6.950509358688865e-07,0.35109717945497776
31,0.3591652097867426,0.3760603093086394,total,flux,2.1203110625227047e-05,7.375253500177205e-07,0.367612759547691
31,0.3760603093086394,0.393750152809287,total,flux,2.273809956086638e-05,6.643784072631261e-07,0.3849052310589632
31,0.393750152809287,0.41227212497475624,total,flux,2.5726654841448032e-05,6.804661667088839e-07,0.4030111388920216
31,0.41227212497475624,0.4316653690634254,total,flux,2.7053311518666413e-05,7.46629157047105e-07,0.4219687470190908
31,0.4316653690634254,0.4519708696290653,total,flux,2.9006524936395363e-05,8.746023145157974e-07,0.4418181193462454
31,0.4519708696290653,0.47323153913521065,total,flux,3.24127591429421e-05,9.293135510406245e-07,0.462601204382138
31,0.47323153913521065,0.49549230864386395,total,flux,3.744931591311806e-05,8.917686644668169e-07,0.4843619238895373
31,0.49549230864386395,0.5188002227701878,total,flux,3.854285021048524e-05,1.059716282729677e-06,0.5071462657070258
31,0.5188002227701878,0.5432045391038576,total,flux,4.346689311571856e-05,1.218535486733295e-06,0.5310023809370227
31,0.5432045391038576,0.5687568323071858,total,flux,4.630657850806655e-05,1.183854903612477e-06,0.5559806857055216
31,0.5687568323071858,0.5955111031100121,total,flux,4.8742706487690414e-05,9.402471300691137e-07,0.5821339677085989
31,0.5955111031100121,0.6235238924317065,total,flux,5.50417029990444e-05,9.756254220567424e-07,0.6095174977708593
31,0.6235238924317065,0.6528544008714552,total,flux,5.817958278962261e-05,1.357642487046501e-06,0.6381891466515808
31,0.6528544008714552,0.6835646138193648,total,flux,6.28870898124919e-05,9.200058332909415e-07,0.66820950734541
31,0.6835646138193648,0.7157194324527797,total,flux,6.743483441969917e-05,1.2220857521827835e-06,0.6996420231360723
31,0.7157194324527797,0.7493868108946533,total,flux,7.657465215346176e-05,1.4500376802011097e-06,0.7325531216737164
31,0.7493868108946533,0.7846378998238388,total,flux,8.208510486384848e-05,1.367551287519965e-06,0.7670123553592461
31,0.7846378998238388,0.8215471968407938,total,flux,9.001772528093938e-05,1.4778991724478115e-06,0.8030925483323164
31,0.8215471968407938,0.8601927039064753,total,flux,9.274088805409652e-05,1.6457998640768053e-06,0.8408699503736345
31,0.8601927039064753,0.9006560921871456,total,flux,0.00010322997411823105,1.6069971237465728e-06,0.8804243980468105
31,0.9006560921871456,0.9430228746534638,total,flux,0.00011304739876158036,1.3264023481920496e-06,0.9218394834203048
31,0.9430228746534638,0.9873825867986226,total,flux,0.00011897598243495936,1.80518990770086e-06,0.9652027307260431
31,0.9873825867986226,1.0338289758574506,total,flux,0.00013134643499268,1.3389072098336865e-06,1.0106057813280365
31,1.0338289758574506,1.0824601989263642,total,flux,0.00014109244344870787,1.950932479670634e-06,1.0581445873919075
31,1.0824601989263642,1.1333790304028648,total,flux,0.00015242610755713518,1.8367271493223056e-06,1.1079196146646146
31,1.1333790304028648,1.1866930791829704,total,flux,0.00015849027119367324,2.465258607580749e-06,1.1600360547929176
31,1.1866930791829704,1.2425150160755967,total,flux,0.0001733900435059997,2.1295526471113808e-06,1.2146040476292836
31,1.2425150160755967,1.3009628119144887,total,flux,0.00018942517373457464,2.0879525218519794e-06,1.2717389139950428
31,1.3009628119144887,1.3621599868709182,total,flux,0.0002003407465002961,2.2993264165172642e-06,1.3315613993927036
31,1.3621599868709182,1.4262358714940264,total,flux,0.00021568055726817816,2.324703405274658e-06,1.3941979291824724
31,1.4262358714940264,1.493325880030483,total,flux,0.00023338382974084627,2.3265810333322927e-06,1.4597808757622546
31,1.493325880030483,1.5635717966010745,total,flux,0.00025084311974459537,2.850113245222566e-06,1.5284488383157786
31,1.5635717966010745,1.6371220748390232,total,flux,0.000273030437170877,2.810086896967048e-06,1.6003469357200488
31,1.6371220748390232,1.7141321516232484,total,flux,0.00029206087756913186,2.5461991247536993e-06,1.6756271132311358
31,1.7141321516232484,1.7947647755696305,total,flux,0.0003219139394009406,3.1861112813918324e-06,1.7544484635964395
31,1.7947647755696305,1.8791903509744645,total,flux,0.0003399959409342429,3.2856177707953544e-06,1.8369775632720475
31,1.8791903509744645,1.9675872979369864,total,flux,0.00036766693641977565,3.3225220108762695e-06,1.9233888244557256
31,1.9675872979369864,2.0601424294220303,total,flux,0.00039234289585544495,3.5838040266315633e-06,2.0138648636795082
31,2.0601424294220303,2.15705134605968,total,flux,0.000414352427822285,3.306329613335689e-06,2.1085968877408554
31,2.15705134605968,2.2585188495162605,total,flux,0.00045226617715628936,3.7180366416364716e-06,2.20778509778797
31,2.2585188495162605,2.3647593753102636,total,flux,0.00048139208992310464,3.4816320340864183e-06,2.3116391124132623
31,2.3647593753102636,2.4759974459878986,total,flux,0.0005216454448403348,3.99325640115761e-06,2.4203784106490813
31,2.4759974459878986,2.592468145615978,total,flux,0.0005620434646952049,4.299031822644492e-06,2.5342327958019384
31,2.592468145615978,2.7144176165949068,total,flux,0.0005900735832522582,3.923846339395508e-06,2.6534428811054425
31,2.7144176165949068,2.842103579841711,total,flux,0.0006419464960952131,3.563212590723583e-06,2.778260598218309
31,2.842103579841711,2.9757958794424315,total,flux,0.0006808687522388285,4.270681437029459e-06,2.908949729642071
31,2.9757958794424315,3.1157770529249142,total,flux,0.0007313099735491985,4.110152797022428e-06,3.0457864661836727
31,3.1157770529249142,3.2623429283571834,total,flux,0.0007848829937995186,3.972754774470821e-06,3.1890599906410486
31,3.2623429283571834,3.415803249533272,total,flux,0.0008353066741602734,4.819977962998297e-06,3.339073088945228
31,3.415803249533272,3.5764823305677327,total,flux,0.0008929645998690003,5.655863547411339e-06,3.496142790050502
31,3.5764823305677327,3.74471974128222,total,flux,0.0009471405795947172,5.042245378123991e-06,3.6606010359249765
31,3.74471974128222,3.920871024832596,total,flux,0.0010021912663179737,3.828359086872218e-06,3.832795383057408
