
========================================================================
  HCPB  |  0.1 kg/m³
========================================================================

  Total (n,gamma) rate:  A = 3.473363e-05   C = 2.307272e-05   C/A = 0.6643
  Flux mode energy:     A = 1.4000e+07 eV   C = 1.4000e+07 eV
  (n,gamma) mode energy: A = 3.6326e+01 eV   C = 6.6073e+01 eV
  Bins where C > A:  597 / 1231

   Bin      E_lo [eV]      E_hi [eV]         Rate A         Rate C          C - A        C/A
   774     5.4245e+02     5.5508e+02     2.7215e-09     2.8146e-09     9.3137e-11     1.0342
   775     5.5508e+02     5.6800e+02     1.2519e-08     1.5085e-08     2.5652e-09     1.2049
   781     6.3725e+02     6.5208e+02     1.0962e-09     1.1541e-09     5.7911e-11     1.0528
   783     6.6726e+02     6.8279e+02     9.6285e-09     1.0343e-08     7.1406e-10     1.0742
   785     6.9868e+02     7.1494e+02     1.2178e-07     1.2336e-07     1.5770e-09     1.0129
   786     7.1494e+02     7.3159e+02     2.2950e-08     2.3691e-08     7.4104e-10     1.0323
   787     7.3159e+02     7.4861e+02     2.0112e-08     2.1914e-08     1.8029e-09     1.0896
   788     7.4861e+02     7.6604e+02     5.1531e-08     5.6879e-08     5.3486e-09     1.1038
   789     7.6604e+02     7.8387e+02     2.0587e-08     2.2994e-08     2.4075e-09     1.1169
   790     7.8387e+02     8.0211e+02     4.9459e-08     5.3128e-08     3.6689e-09     1.0742
   791     8.0211e+02     8.2078e+02     2.3962e-08     2.8876e-08     4.9137e-09     1.2051
   793     8.3989e+02     8.5944e+02     2.5233e-07     2.5779e-07     5.4559e-09     1.0216
   794     8.5944e+02     8.7944e+02     3.2806e-08     3.4065e-08     1.2587e-09     1.0384
   795     8.7944e+02     8.9991e+02     4.5195e-09     4.9517e-09     4.3227e-10     1.0956
   799     9.6422e+02     9.8667e+02     9.1329e-09     9.9845e-09     8.5156e-10     1.0932
   801     1.0096e+03     1.0331e+03     5.3449e-08     5.8168e-08     4.7185e-09     1.0883
   802     1.0331e+03     1.0572e+03     9.5617e-08     1.0331e-07     7.6961e-09     1.0805
   803     1.0572e+03     1.0818e+03     1.8601e-08     2.0746e-08     2.1453e-09     1.1153
   804     1.0818e+03     1.1070e+03     6.9267e-08     7.3419e-08     4.1517e-09     1.0599
   805     1.1070e+03     1.1327e+03     7.7781e-08     7.9070e-08     1.2893e-09     1.0166
   807     1.1591e+03     1.1861e+03     1.5860e-07     1.7423e-07     1.5635e-08     1.0986
   808     1.1861e+03     1.2137e+03     1.0395e-07     1.0640e-07     2.4576e-09     1.0236
   809     1.2137e+03     1.2419e+03     7.1444e-09     7.9742e-09     8.2981e-10     1.1161
   810     1.2419e+03     1.2708e+03     1.2996e-07     1.2998e-07     2.2133e-11     1.0002
   811     1.2708e+03     1.3004e+03     6.2107e-08     6.8766e-08     6.6589e-09     1.1072
   812     1.3004e+03     1.3307e+03     1.5637e-08     1.7008e-08     1.3713e-09     1.0877
   813     1.3307e+03     1.3617e+03     5.6797e-09     6.4452e-09     7.6554e-10     1.1348
   814     1.3617e+03     1.3934e+03     1.8671e-08     2.0986e-08     2.3146e-09     1.1240
   816     1.4258e+03     1.4590e+03     7.1062e-08     7.6703e-08     5.6411e-09     1.0794
   817     1.4590e+03     1.4929e+03     5.6158e-08     6.5222e-08     9.0649e-09     1.1614
   819     1.5277e+03     1.5632e+03     2.3901e-08     2.4745e-08     8.4424e-10     1.0353
   822     1.6369e+03     1.6750e+03     8.3117e-08     8.6190e-08     3.0734e-09     1.0370
   823     1.6750e+03     1.7139e+03     8.9289e-08     9.5070e-08     5.7810e-09     1.0647
   824     1.7139e+03     1.7538e+03     2.7563e-08     3.0356e-08     2.7931e-09     1.1013
   826     1.7947e+03     1.8364e+03     2.9368e-08     3.1318e-08     1.9494e-09     1.0664
   827     1.8364e+03     1.8792e+03     2.0410e-08     2.2860e-08     2.4506e-09     1.1201
   828     1.8792e+03     1.9229e+03     6.8339e-08     7.2028e-08     3.6891e-09     1.0540
   829     1.9229e+03     1.9677e+03     1.7609e-08     2.1272e-08     3.6630e-09     1.2080
   832     2.0603e+03     2.1083e+03     5.4636e-08     5.7937e-08     3.3009e-09     1.0604
   833     2.1083e+03     2.1574e+03     6.5308e-08     6.9707e-08     4.3985e-09     1.0674
   835     2.2076e+03     2.2590e+03     1.1988e-08     1.3691e-08     1.7036e-09     1.1421
   836     2.2590e+03     2.3115e+03     9.1098e-08     9.2042e-08     9.4408e-10     1.0104
   837     2.3115e+03     2.3653e+03     6.7614e-08     7.2697e-08     5.0835e-09     1.0752
   838     2.3653e+03     2.4204e+03     3.8156e-08     4.0014e-08     1.8580e-09     1.0487
   840     2.4767e+03     2.5344e+03     3.9023e-08     4.1049e-08     2.0257e-09     1.0519
   842     2.5934e+03     2.6537e+03     5.1068e-08     5.2313e-08     1.2456e-09     1.0244
   843     2.6537e+03     2.7155e+03     4.5468e-08     4.9241e-08     3.7737e-09     1.0830
   844     2.7155e+03     2.7787e+03     5.4204e-08     5.6159e-08     1.9550e-09     1.0361
   845     2.7787e+03     2.8434e+03     3.9167e-08     4.1489e-08     2.3217e-09     1.0593
   846     2.8434e+03     2.9096e+03     5.1567e-08     5.3119e-08     1.5528e-09     1.0301
   847     2.9096e+03     2.9773e+03     4.1002e-08     4.4953e-08     3.9511e-09     1.0964
   848     2.9773e+03     3.0466e+03     4.2360e-08     4.4264e-08     1.9035e-09     1.0449
   849     3.0466e+03     3.1175e+03     4.5190e-08     4.6064e-08     8.7324e-10     1.0193
   850     3.1175e+03     3.1901e+03     5.4514e-08     6.1108e-08     6.5941e-09     1.1210
   851     3.1901e+03     3.2643e+03     4.5502e-08     4.6739e-08     1.2374e-09     1.0272
   852     3.2643e+03     3.3403e+03     7.4258e-08     7.8478e-08     4.2201e-09     1.0568
   853     3.3403e+03     3.4180e+03     4.9714e-08     5.2931e-08     3.2166e-09     1.0647
   855     3.4976e+03     3.5790e+03     3.4051e-08     3.5856e-08     1.8052e-09     1.0530
   856     3.5790e+03     3.6623e+03     4.1917e-08     4.4850e-08     2.9331e-09     1.0700
