energy_eV,"Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","C12(n,elastic)","C12(n,absorption)","C13(n,elastic)","C13(n,absorption)","O16(n,elastic)","O16(n,absorption)","O17(n,elastic)","O17(n,absorption)","O18(n,elastic)","O18(n,absorption)","Si28(n,elastic)","Si28(n,absorption)","Si29(n,elastic)","Si29(n,absorption)","Si30(n,elastic)","Si30(n,absorption)","Fe54(n,elastic)","Fe54(n,inelastic)","Fe54(n,absorption)","Fe56(n,elastic)","Fe56(n,inelastic)","Fe56(n,absorption)","Fe57(n,elastic)","Fe57(n,inelastic)","Fe57(n,absorption)","Fe58(n,elastic)","Fe58(n,inelastic)","Fe58(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)","Pb204(n,elastic)","Pb204(n,inelastic)","Pb204(n,2n)","Pb204(n,absorption)","Pb206(n,elastic)","Pb206(n,inelastic)","Pb206(n,2n)","Pb206(n,absorption)","Pb207(n,elastic)","Pb207(n,inelastic)","Pb207(n,2n)","Pb207(n,absorption)","Pb208(n,elastic)","Pb208(n,inelastic)","Pb208(n,2n)","Pb208(n,absorption)"
11.02125,0.00302593412,0,0.181879339,0.000450099291,0,0,0.0172061003,6.71515547e-07,0.000232743358,2.94159777e-09,1.54878922e-06,3.51263137e-12,5.80025912e-10,1.77505738e-12,2.54824508e-09,6.3579477e-15,0.00639373749,3.01056327e-05,0.000466478143,9.77092396e-07,0.0002766923,5.81665178e-07,0.000176063061,0,9.01295966e-06,0.0157691487,0,0.000160251074,1.80863272e-05,0,3.57900219e-06,2.99764491e-05,0,2.52128737e-07,1.45305225e-08,0,0,5.16104475e-09,1.79526609e-08,1.85947491e-06,0,0,6.3245026e-08,2.29289392e-13,0.00344087338,0,0,9.75367376e-06,0.0573241946,0,0,6.71946639e-06,0.0521460293,0,0,0.000165569128,0.130018084,0,0,1.51242404e-07
11.4279,0.00302583818,0,0.178598649,0.000450158105,0,0,0.0172059104,6.59338291e-07,0.000232741113,2.88903205e-09,1.54877647e-06,3.4570234e-12,5.80021742e-10,1.74399728e-12,2.5482273e-09,6.25209776e-15,0.00639369288,2.95663417e-05,0.000466475936,9.59270483e-07,0.000276690928,5.71055614e-07,0.000176035241,0,8.85098832e-06,0.0157669954,0,0.000157327574,1.8080554e-05,0,3.51400741e-06,2.99733356e-05,0,2.47543098e-07,1.22312282e-08,0,0,4.3275211e-08,2.74921622e-08,1.83345027e-06,0,0,1.14606339e-07,2.39477123e-13,0.00344083605,0,0,9.58339622e-06,0.0573240224,0,0,6.59817112e-06,0.0521459168,0,0,0.000162586023,0.130017934,0,0,1.49343662e-07
11.88964,0.00302573433,0,0.175056121,0.000450218927,0,0,0.0172057203,6.46791801e-07,0.000232738565,2.82934511e-09,1.548762e-06,3.39388207e-12,5.80021654e-10,1.70880918e-12,2.54820711e-09,6.13190804e-15,0.00639364317,2.8984618e-05,0.000466473712,9.40455646e-07,0.000276689576,5.59855466e-07,0.00017600372,0,8.67609254e-06,0.0157645504,0,0.000154170413,1.80740017e-05,0,3.44381295e-06,2.99698071e-05,0,2.42590544e-07,1.66842882e-08,0,0,5.5197613e-08,2.45510653e-08,1.80506115e-06,0,0,5.48505538e-08,2.51542308e-13,0.00344079193,0,0,9.39039573e-06,0.0573238282,0,0,6.46718343e-06,0.0521458092,0,0,0.000159364671,0.130017764,0,0,1.47187692e-07
12.38875,0.00302562896,0,0.171509596,0.000450285367,0,0,0.0172055149,6.33229886e-07,0.00023273581,2.76482753e-09,1.54874635e-06,3.32563053e-12,5.80013286e-10,1.67434807e-12,2.54818528e-09,6.001991e-15,0.00639359045,2.83897113e-05,0.000466471494,9.21434889e-07,0.000276688206,5.48531774e-07,0.000175969649,0,8.5010051e-06,0.0157619075,0,0.000151009394,1.80669307e-05,0,3.37352046e-06,2.99659962e-05,0,2.37631047e-07,3.54000419e-08,0,0,5.33428632e-07,4.54030523e-07,1.7748958e-06,0,0,5.3542161e-08,2.65545823e-13,0.00344074473,0,0,9.20360688e-06,0.0573236592,0,0,6.33603265e-06,0.052145693,0,0,0.000156139444,0.13001758,0,0,1.44857234e-07
13.08773,0.00302549205,0,0.166978998,0.000450379666,0,0,0.017205286,6.17390695e-07,0.000232733021,2.69453857e-09,1.54873049e-06,3.25088925e-12,5.800069e-10,1.63018697e-12,2.54815502e-09,5.82128726e-15,0.00639352146,2.76241881e-05,0.000466468636,8.96766267e-07,0.000276686342,5.338488e-07,0.000175921973,0,8.27735027e-06,0.0157582185,0,0.000146970632,1.80570366e-05,0,3.28369965e-06,2.99606799e-05,0,2.31293146e-07,1.7552617e-08,0,0,1.07432821e-08,2.40374793e-08,1.73219934e-06,0,0,5.4215973e-08,2.87553719e-13,0.0034406786,0,0,8.95401648e-06,0.0573234225,0,0,6.16846723e-06,0.0521455302,0,0,0.000152018996,0.130017323,0,0,1.42470228e-07
14.30675,0.00302526744,0,0.159674725,0.000450545739,0,0,0.0172049063,5.90808239e-07,0.000232728509,2.5785785e-09,1.54870482e-06,3.12742081e-12,5.79998216e-10,1.55885195e-12,2.54812154e-09,5.58561651e-15,0.00639341461,2.64171285e-05,0.000466464052,8.57397933e-07,0.000276683425,5.10411383e-07,0.000175838951,0,7.91679156e-06,0.0157518066,0,0.000140458626,1.80397977e-05,0,3.13885268e-06,2.9951426e-05,0,2.21072003e-07,1.67326439e-08,0,0,1.19227874e-08,7.28924788e-08,1.65129273e-06,0,0,6.1296139e-08,3.37477001e-13,0.00344056776,0,0,8.57241769e-06,0.0573230096,0,0,5.89828623e-06,0.0521452463,0,0,0.000145375611,0.130016874,0,0,1.38596704e-07
15.04019,0.00302514051,0,0.1556306,0.000450647124,0,0,0.0172046809,5.74987261e-07,0.000232725833,2.50956295e-09,1.54868958e-06,3.05390774e-12,5.79993525e-10,1.51928858e-12,2.54810139e-09,5.44382199e-15,0.00639335227,2.57616619e-05,0.000466461795,8.36165509e-07,0.00027668184,4.97770987e-07,0.000175789082,0,7.7171736e-06,0.0157479608,0,0.000136852761,1.80294361e-05,0,3.05863179e-06,2.99458667e-05,0,2.15410955e-07,1.56608544e-08,0,0,6.45942036e-09,1.38662281e-08,1.59500568e-06,0,0,6.9789082e-08,3.79120123e-13,0.00344049927,0,0,8.35576614e-06,0.0573227612,0,0,5.74867703e-06,0.0521450754,0,0,0.000141697168,0.130016608,0,0,1.36291684e-07
15.76373,0.00302502547,0,0.152088711,0.00045074811,0,0,0.0172045123,5.62318888e-07,0.000232723849,2.45429925e-09,1.54867808e-06,2.99454759e-12,5.79989576e-10,1.48465855e-12,2.54808152e-09,5.30394143e-15,0.00639329348,2.5163092e-05,0.000466459633,8.16799615e-07,0.00027668052,4.86245514e-07,0.000175739931,0,7.54234486e-06,0.0157441598,0,0.000133693916,1.80192293e-05,0,2.98833367e-06,2.99403956e-05,0,2.10449841e-07,1.50257466e-08,0,0,1.24946874e-08,9.23611266e-09,1.52996798e-06,0,0,8.29571659e-08,4.35087662e-13,0.00344043254,0,0,8.1645433e-06,0.0573225162,0,0,5.61760681e-06,0.0521449069,0,0,0.000138474915,0.130016408,0,0,1.34452337e-07
16.34521,0.00302493411,0,0.149294277,0.000450829678,0,0,0.0172043767,5.52137826e-07,0.000232722254,2.40988603e-09,1.54866884e-06,2.94684222e-12,5.79986473e-10,1.45736243e-12,2.54806742e-09,5.20293423e-15,0.00639324839,2.47153108e-05,0.000466458054,8.02185502e-07,0.00027667947,4.77544533e-07,0.000175700437,0,7.40439255e-06,0.0157411091,0,0.00013120127,1.80110286e-05,0,2.93285849e-06,2.99360009e-05,0,2.06534752e-07,1.60612513e-08,0,0,2.14425107e-08,1.4641527e-08,1.46777308e-06,0,0,9.88443773e-08,4.96928332e-13,0.00344038288,0,0,8.01549752e-06,0.0573223193,0,0,5.51416611e-06,0.0521447752,0,0,0.000135931939,0.130016247,0,0,1.32974128e-07
17.03885,0.00302483169,0,0.14627788,0.000450927377,0,0,0.0172042187,5.40376199e-07,0.000232720407,2.35858476e-09,1.54865848e-06,2.89169071e-12,5.79983203e-10,1.42805852e-12,2.54805463e-09,5.10710982e-15,0.00639319751,2.42163563e-05,0.000466456327,7.85919736e-07,0.000276678268,4.67855608e-07,0.000175653364,0,7.25536994e-06,0.0157374942,0,0.000128508023,1.80012587e-05,0,2.87290081e-06,2.99307716e-05,0,2.02302905e-07,1.5479872e-08,0,0,4.71978006e-09,1.76562057e-08,1.37633232e-06,0,0,1.28290091e-07,6.03755014e-13,0.00344031747,0,0,7.85351696e-06,0.0573220844,0,0,5.4023192e-06,0.0521446405,0,0,0.000133182475,0.130016056,0,0,1.31210791e-07
