energy_eV,"Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","Be9(n,elastic)","Be9(n,absorption)","C12(n,elastic)","C12(n,absorption)","C13(n,elastic)","C13(n,absorption)","O16(n,elastic)","O16(n,absorption)","O17(n,elastic)","O17(n,absorption)","O18(n,elastic)","O18(n,absorption)","Si28(n,elastic)","Si28(n,absorption)","Si29(n,elastic)","Si29(n,absorption)","Si30(n,elastic)","Si30(n,absorption)","Fe54(n,elastic)","Fe54(n,inelastic)","Fe54(n,absorption)","Fe56(n,elastic)","Fe56(n,inelastic)","Fe56(n,absorption)","Fe57(n,elastic)","Fe57(n,inelastic)","Fe57(n,absorption)","Fe58(n,elastic)","Fe58(n,inelastic)","Fe58(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)"
12.04107,0.00289565171,0,0.166502097,0.00258532153,0,0,0.288416103,1.84182106e-05,0.000238793832,8.9195851e-09,3.23011965e-06,3.89962335e-11,0.0244404328,5.32309668e-08,9.15309237e-06,2.68011652e-08,4.02123203e-05,9.61436155e-11,0.00282061447,1.27072356e-05,0.000205789385,4.12345801e-07,0.000122064272,2.4547035e-07,0.00109116398,0,5.34626656e-05,0.0977356894,0,0.000949914789,0.000112046024,0,2.12195118e-05,0.000185806488,0,1.49473902e-06,8.66604881e-09,0,0,1.95191292e-08,2.26376665e-08,1.13134029e-06,0,0,3.41486232e-08,1.61053914e-13
12.62423,0.00289553604,0,0.162624671,0.0025857688,0,0,0.288410834,1.79791129e-05,0.000238790673,8.7089168e-09,3.23007812e-06,3.80088797e-11,0.0244401645,5.20420555e-08,9.15295587e-06,2.61794428e-08,4.02119179e-05,9.37481876e-11,0.00282058777,1.24072013e-05,0.000205788265,4.02725135e-07,0.000122063571,2.39743133e-07,0.00109091722,0,5.22225501e-05,0.0977165601,0,0.000927524621,0.000111994812,0,2.07216025e-05,0.000185778909,0,1.45960819e-06,1.56466671e-08,0,0,4.71844531e-08,3.73057202e-08,1.10914112e-06,0,0,3.36881296e-08,1.71712879e-13
13.51969,0.00289537066,0,0.157171233,0.00258646422,0,0,0.288403853,1.73811404e-05,0.000238786801,8.4379087e-09,3.23003212e-06,3.6826667e-11,0.0244398669,5.0610801e-08,9.15284719e-06,2.53023476e-08,4.02114155e-05,9.05459908e-11,0.00282055031,1.19895593e-05,0.000205786689,3.89119149e-07,0.000122062537,2.31644834e-07,0.0010905386,0,5.04784937e-05,0.097687278,0,0.000896028929,0.000111916238,0,2.00211321e-05,0.000185736714,0,1.41018092e-06,1.00204951e-08,0,0,7.32758735e-09,2.62350172e-08,1.0739622e-06,0,0,3.51931984e-08,1.91013929e-13
14.58628,0.00289518896,0,0.151326939,0.00258730412,0,0,0.288396604,1.67401273e-05,0.000238782189,8.11510865e-09,3.22997734e-06,3.54185233e-11,0.0244395124,4.89060216e-08,9.15273411e-06,2.43602306e-08,4.02109533e-05,8.72919882e-11,0.00282051017,1.1543308e-05,0.000205785047,3.7456786e-07,0.00012206145,2.22981048e-07,0.00109008865,0,4.86095743e-05,0.0976525626,0,0.000862271625,0.000111822773,0,1.92701891e-05,0.000185686555,0,1.35718926e-06,1.08553449e-08,0,0,3.00894672e-08,2.71259974e-08,1.02728486e-06,0,0,4.03767902e-08,2.21767216e-13
15.35051,0.00289506679,0,0.147487498,0.00258791323,0,0,0.288391935,1.63188924e-05,0.000238779267,7.90472293e-09,3.22994274e-06,3.45007574e-11,0.024439287,4.77909605e-08,9.15266181e-06,2.37410146e-08,4.02106221e-05,8.49604396e-11,0.00282048207,1.12517671e-05,0.000205784008,3.65175967e-07,0.000122060793,2.17390726e-07,0.00108976661,0,4.73818022e-05,0.0976276978,0,0.000840091206,0.000111755876,0,1.87766717e-05,0.000185650677,0,1.32236176e-06,9.62133717e-09,0,0,2.926947e-08,4.73265859e-08,9.88120723e-07,0,0,4.70636921e-08,2.52501263e-13
15.98729,0.0028949699,0,0.144504301,0.00258842392,0,0,0.288388355,1.59915152e-05,0.000238777207,7.74998402e-09,3.2299185e-06,3.38257342e-11,0.0244391274,4.69665426e-08,9.15260697e-06,2.32600587e-08,4.02103461e-05,8.30177215e-11,0.00282045955,1.10241301e-05,0.000205783198,3.57823706e-07,0.000122060281,2.13014466e-07,0.00108949842,0,4.64278351e-05,0.0976069574,0,0.000822854714,0.000111700182,0,1.83930844e-05,0.000185620824,0,1.29529104e-06,9.26299285e-09,0,0,5.94568179e-08,4.0056491e-08,9.49549201e-07,0,0,5.56662546e-08,2.87662737e-13
16.60988,0.00289487907,0,0.141775828,0.00258892638,0,0,0.288385124,1.56920614e-05,0.000238775192,7.59869332e-09,3.2298948e-06,3.31657533e-11,0.0244389713,4.61604961e-08,9.15255757e-06,2.28217109e-08,4.02101434e-05,8.15288119e-11,0.00282043835,1.08141483e-05,0.000205782483,3.51154344e-07,0.000122059795,2.09042731e-07,0.00108923635,0,4.5554898e-05,0.0975867725,0,0.000807080124,0.000111645777,0,1.80419627e-05,0.000185591686,0,1.27050995e-06,9.58626723e-09,0,0,1.92355862e-08,5.48656028e-08,9.04313842e-07,0,0,6.82799015e-08,3.35388656e-13
17.5995,0.00289474013,0,0.137699285,0.00258973032,0,0,0.288380383,1.52464621e-05,0.000238772319,7.38210299e-09,3.22986157e-06,3.22212435e-11,0.0244387513,4.50043021e-08,9.15248493e-06,2.21684151e-08,4.02098554e-05,7.93713852e-11,0.00282040749,1.05139353e-05,0.000205781434,3.40990754e-07,0.000122059018,2.02988776e-07,0.00108882004,0,4.42502049e-05,0.0975547901,0,0.00078350039,0.000111559366,0,1.75170068e-05,0.000185545437,0,1.23345799e-06,8.67675602e-09,0,0,3.17810333e-09,6.56284039e-09,8.07335966e-07,0,0,1.05310401e-07,4.63978492e-13
18.40848,0.00289463308,0,0.134673961,0.00259039047,0,0,0.288377093,1.49293904e-05,0.000238770383,7.22813592e-09,3.22983951e-06,3.15494106e-11,0.0244386033,4.41832636e-08,9.15243267e-06,2.16816357e-08,4.020962e-05,7.76077638e-11,0.00282038243,1.02728707e-05,0.000205780651,3.33447689e-07,0.000122058502,1.98499334e-07,0.00108848032,0,4.32824143e-05,0.0975285983,0,0.000766006898,0.000111488805,0,1.71274114e-05,0.000185507689,0,1.20595798e-06,8.57326682e-09,0,0,5.94262232e-09,1.83779526e-08,6.85998159e-07,0,0,1.74263732e-07,6.84257428e-13
19.16785,0.00289453804,0,0.131976555,0.00259101272,0,0,0.288374005,1.46317628e-05,0.000238768565,7.08361075e-09,3.22981881e-06,3.09187774e-11,0.0244384644,4.34125745e-08,9.15238689e-06,2.12470025e-08,4.02093991e-05,7.59522949e-11,0.00282035951,1.00728857e-05,0.000205779967,3.26853025e-07,0.000122058018,1.94575235e-07,0.00108816127,0,4.24203699e-05,0.097504067,0,0.000750430606,0.000111422608,0,1.67802993e-05,0.00018547228,0,1.18145599e-06,1.71545557e-08,0,0,2.09695933e-07,3.4030572e-07,4.98593547e-07,0,0,3.50399152e-07,1.19902752e-12
