energy_eV,"F19(n,elastic)","F19(n,absorption)","Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","Be9(n,elastic)","Be9(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)"
28.95003,0.176760102,1.38163305e-05,0.00107583809,0,0.0399149207,0.0178773122,0,0,0.0590882452,2.44356393e-06,0.00019204694,0,0,3.86125908e-05,7.77596507e-05,0.0206344729,0,0,0.000917825303,1.34423429e-09
29.94695,0.176759712,1.36011484e-05,0.00107581157,0,0.0392454974,0.017883098,0,0,0.0590878496,2.40270058e-06,0.000179708826,0,0,8.21263437e-05,5.10796609e-05,0.0189986789,0,0,0.00105248377,1.54052444e-09
30.87692,0.176759349,1.34004174e-05,0.00107578728,0,0.0386458399,0.0178885059,0,0,0.0590874805,2.36458148e-06,0.000187227478,0,0,0.00106911772,0.000638721288,0.0172351986,0,0,0.00128635693,1.80145639e-09
31.62271,0.176759057,1.32394409e-05,0.00107576809,0,0.0381856726,0.0178928484,0,0,0.0590872084,2.33651267e-06,0.00014342751,0,0,0.000140336821,0.000177262227,0.0155553789,0,0,0.00159347745,2.09271193e-09
32.50446,0.176758713,1.3049118e-05,0.00107574575,0,0.037666147,0.0178979825,0,0,0.0590869149,2.30628647e-06,0.000198194966,0,0,0.000167449406,0.00019849494,0.0130917152,0,0,0.00220944057,2.60275975e-09
33.2714,0.176758437,1.28906996e-05,0.00107572642,0,0.0372213052,0.0179024573,0,0,0.0590866597,2.27999594e-06,0.000148349885,0,0,0.000964168998,0.000606196801,0.010314866,0,0,0.00319395435,3.3260464e-09
34.06504,0.176758202,1.27420224e-05,0.00107570691,0,0.0367918467,0.0179070787,0,0,0.0590863955,2.25279013e-06,0.000146193365,0,0,0.000734166314,0.000676731706,0.00653330532,0,0,0.00527453234,4.69841854e-09
35.02756,0.176757899,1.25707755e-05,0.00107568328,0,0.0362726633,0.0179126979,0,0,0.0590860764,2.21993567e-06,0.000274052145,0,0,0.00241079336,0.00520658417,0.0010111512,0,0,0.0130087416,9.20088273e-09
35.57632,0.176757745,1.24775247e-05,0.00107567028,0,0.0360087746,0.0179159065,0,0,0.0590859176,2.20392211e-06,0.000361136511,0,0,0.000385077636,0.00167007736,0.00271347319,0,0,0.0297757652,1.80466464e-08
36.1508,0.176757591,1.2381569e-05,0.00107565666,0,0.0357325176,0.0179192655,0,0,0.0590857514,2.187158e-06,0.00025662136,0,0,5.84573048e-05,0.000354004742,0.168447843,0,0,0.197999306,9.71464708e-08
