energy_mid_eV,"Be (n,2n)","Be (n,2n) err","Be (n,n')","Be (n,n') err","Pb (n,2n)","Pb (n,2n) err","Pb (n,n')","Pb (n,n') err","Li_7.5 (n,2n)","Li_7.5 (n,2n) err","Li_7.5 (n,n')","Li_7.5 (n,n') err","Li_60 (n,2n)","Li_60 (n,2n) err","Li_60 (n,n')","Li_60 (n,n') err","Li_90 (n,2n)","Li_90 (n,2n) err","Li_90 (n,n')","Li_90 (n,n') err","U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,n')","U (n,n') err","Th (n,2n)","Th (n,2n) err",Th nu-fission,Th nu-fission err,"Th (n,n')","Th (n,n') err"
1208.3209037766937,3.8379678854507484e-10,5.984922559933735e-11,0.0,0.0,9.381699275546267e-11,2.943256609009059e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.411527009289553e-11,1.6797197843588597e-11,4.093832411147465e-10,5.485941843382664e-11,0.0,0.0,4.26440876161194e-11,1.86817703948799e-11,1.1087462780191045e-10,3.127233091848757e-11,0.0,0.0
1220.1030225393802,4.814480855497708e-10,6.267510960854673e-11,0.0,0.0,7.601811877101637e-11,2.429399635587936e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.378583056489617e-11,1.6634993032832726e-11,4.814480855497708e-10,6.923098091317802e-11,8.446457641224043e-12,8.446457641224043e-12,2.5339372923672132e-11,1.4481165121846677e-11,1.2669686461836064e-10,3.260265897633047e-11,0.0,0.0
1232.000026612835,3.42960616301128e-10,5.1953836835674585e-11,0.0,0.0,5.855425156360719e-11,2.1450296081812086e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.364893080515312e-11,2.5221101599554034e-11,4.266095471062812e-10,6.234256356309558e-11,0.0,0.0,5.855425156360719e-11,2.1450296081812086e-11,1.840276477713369e-10,4.0458714004565245e-11,0.0,0.0
1244.0130362229615,4.1420580804750733e-10,6.915970435349315e-11,0.0,0.0,6.627292928760113e-11,2.2587464857039822e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9704696965700856e-11,1.977279823148971e-11,5.550357827836599e-10,6.769586801885592e-11,0.0,0.0,1.325458585752023e-10,3.271539970333838e-11,9.940939393140171e-11,2.950688760436271e-11,0.0,0.0
1256.1431825187824,4.430224409336658e-10,6.536307218839166e-11,0.0,0.0,4.1020596382746795e-11,1.797054189509362e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9224715659296165e-11,1.9581859062642632e-11,4.020018445509189e-10,6.114433532556137e-11,0.0,0.0,5.742883493584552e-11,2.1038019957769095e-11,6.563295421239488e-11,2.2369345412554863e-11,0.0,0.0
1268.3916076789503,4.143696396336116e-10,6.055388533309054e-11,0.0,0.0,8.93738438425436e-11,2.555003504575546e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.499915915821355e-11,2.2153332273151275e-11,4.712439038970486e-10,6.448418385139618e-11,0.0,0.0,1.0562363363209702e-10,2.979128128084788e-11,1.6249789789553388e-10,3.651868680391164e-11,0.0,0.0
1280.7594650192973,6.195755377995211e-10,9.067151102889904e-11,0.0,0.0,4.0232177779189645e-11,1.7625146879041287e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.827861333502758e-11,1.9205494422958476e-11,4.5864682668276235e-10,5.97068323599816e-11,0.0,0.0,7.241792000254137e-11,2.314343886806212e-11,9.655722667005516e-11,2.8660301829305372e-11,0.0,0.0
1293.2479191014272,4.3031162908680523e-10,5.93089791574242e-11,0.0,0.0,6.374987097582297e-11,2.1727543746532738e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.187493548791149e-11,1.569413333630828e-11,5.418739032944957e-10,7.152605931207418e-11,0.0,0.0,9.562480646373446e-11,2.838353906937016e-11,1.3546847582362384e-10,3.214544898442212e-11,0.0,0.0
1305.8581458423741,4.419398214995163e-10,5.969241284144202e-11,0.0,0.0,8.680960779454778e-11,2.4816975818636302e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.102604274099364e-11,2.2698620426530728e-11,5.05074081713733e-10,6.778567013656e-11,0.0,0.0,1.183767379016561e-10,3.246122592683914e-11,1.2626852042843318e-10,2.907750546258244e-11,0.0,0.0
1318.5913326253283,3.5951641662570947e-10,6.325062197472624e-11,0.0,0.0,5.470901992130359e-11,2.291437823396226e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5631148548943882e-11,1.0996926771335934e-11,5.158279021151484e-10,7.132015674257833e-11,0.0,0.0,7.815574274471939e-11,2.605191424823981e-11,1.484959112149669e-10,3.081503088370951e-11,0.0,0.0
