energy low [eV],energy high [eV],energy mid [eV],cell,mean,std. dev.
2.9488828666816833e-05,3.017520542970468e-05,2.9832017048260754e-05,11,0.0,0.0
3.017520542970468e-05,3.0877558176784886e-05,3.052638180324478e-05,11,0.0,0.0
3.0877558176784886e-05,3.1596258762241215e-05,3.123690846951305e-05,11,0.0,0.0
3.1596258762241215e-05,3.2331687695469675e-05,3.196397322885545e-05,11,0.0,0.0
3.2331687695469675e-05,3.308423434253569e-05,3.270796101900268e-05,11,0.0,0.0
3.308423434253569e-05,3.38542971323204e-05,3.346926573742805e-05,11,0.0,0.0
3.38542971323204e-05,3.464228376746516e-05,3.4248290449892776e-05,11,0.0,0.0
3.464228376746516e-05,3.544861144022598e-05,3.504544760384557e-05,11,0.0,0.0
3.544861144022598e-05,3.6273707053351865e-05,3.586115924678892e-05,11,0.0,0.0
3.6273707053351865e-05,3.711800744610494e-05,3.66958572497284e-05,11,0.0,0.0
3.711800744610494e-05,3.798195962554071e-05,3.754998353582282e-05,11,0.0,0.0
3.798195962554071e-05,3.886602100317187e-05,3.8423990314356284e-05,11,0.0,0.0
3.886602100317187e-05,3.977065963714063e-05,3.931834032015625e-05,11,0.0,0.0
3.977065963714063e-05,4.0696354480027774e-05,4.02335070585842e-05,11,0.0,0.0
4.0696354480027774e-05,4.164359563242967e-05,4.116997505622872e-05,11,0.0,0.0
4.164359563242967e-05,4.2612884602437536e-05,4.21282401174336e-05,11,0.0,0.0
4.2612884602437536e-05,4.3604734571156274e-05,4.31088095867969e-05,11,0.0,0.0
4.3604734571156274e-05,4.461967066440343e-05,4.4112202617779854e-05,11,0.0,0.0
4.461967066440343e-05,4.5658230230732274e-05,4.513895044756785e-05,11,0.0,0.0
4.5658230230732274e-05,4.6720963125926e-05,4.6189596678329136e-05,11,0.0,0.0
4.6720963125926e-05,4.780843200411379e-05,4.7264697565019894e-05,11,0.0,0.0
4.780843200411379e-05,4.89212126156629e-05,4.836482230988834e-05,11,0.0,0.0
4.89212126156629e-05,5.0059894112004314e-05,4.9490553363833605e-05,11,0.0,0.0
5.0059894112004314e-05,5.12250793575536e-05,5.0642486734778954e-05,11,0.0,0.0
5.12250793575536e-05,5.2417385248891866e-05,5.182123230322274e-05,11,0.0,0.0
5.2417385248891866e-05,5.3637443041376e-05,5.302741414513394e-05,11,0.0,0.0
5.3637443041376e-05,5.4885898683351085e-05,5.4261670862363546e-05,11,0.0,0.0
5.4885898683351085e-05,5.616341315814136e-05,5.552465592074622e-05,11,0.0,0.0
5.616341315814136e-05,5.7470662834002377e-05,5.681703799607187e-05,11,0.0,0.0
5.7470662834002377e-05,5.880833982221757e-05,5.813950132810997e-05,11,0.0,0.0
5.880833982221757e-05,6.017715234353021e-05,5.9492746082873886e-05,11,0.0,0.0
6.017715234353021e-05,6.15778251031044e-05,6.08774887233173e-05,11,0.0,0.0
6.15778251031044e-05,6.301109967421353e-05,6.229446238865896e-05,11,0.0,0.0
6.301109967421353e-05,6.44777348908594e-05,6.374441728253646e-05,11,0.0,0.0
6.44777348908594e-05,6.59785072495299e-05,6.522812107019465e-05,11,0.0,0.0
6.59785072495299e-05,6.751421132030786e-05,6.674635928491887e-05,11,0.0,0.0
6.751421132030786e-05,6.908566016754893e-05,6.829993574392839e-05,11,0.0,0.0
6.908566016754893e-05,7.069368578035095e-05,6.988967297394993e-05,11,0.0,0.0
7.069368578035095e-05,7.233913951304291e-05,7.151641264669693e-05,11,0.0,0.0
7.233913951304291e-05,7.40228925359267e-05,7.31810160244848e-05,11,0.0,0.0
7.40228925359267e-05,7.574583629651006e-05,7.488436441621838e-05,11,0.0,0.0
7.574583629651006e-05,7.750888299147542e-05,7.662735964399274e-05,11,0.0,0.0
7.750888299147542e-05,7.931296604963387e-05,7.841092452055465e-05,11,0.0,0.0
7.931296604963387e-05,8.115904062612051e-05,8.02360033378772e-05,11,0.0,0.0
8.115904062612051e-05,8.304808410809252e-05,8.21035623671065e-05,11,0.0,0.0
8.304808410809252e-05,8.498109663219775e-05,8.401459037014513e-05,11,0.0,0.0
8.498109663219775e-05,8.695910161408782e-05,8.597009912314279e-05,11,0.0,0.0
8.695910161408782e-05,8.898314629025623e-05,8.797112395217203e-05,11,0.0,0.0
8.898314629025623e-05,9.105430227248787e-05,9.001872428137205e-05,11,0.0,0.0
