energy mid [eV],cell,mean,std. dev.,fertile_MT
1.7982204293114084e-05,15,0.0,0.0,40.0
1.7982204293114084e-05,16,0.0,0.0,45.0
1.7982204293114084e-05,17,0.0,0.0,50.0
1.840075490126979e-05,1,0.0,0.0,0.0
1.840075490126979e-05,2,0.0,0.0,0.0096
1.840075490126979e-05,3,0.0,0.0,0.1
1.840075490126979e-05,4,0.0,0.0,0.2
1.840075490126979e-05,5,0.0,0.0,0.5
1.840075490126979e-05,6,0.0,0.0,1.0
1.840075490126979e-05,7,0.0,0.0,2.5
1.840075490126979e-05,8,0.0,0.0,5.0
1.840075490126979e-05,9,0.0,0.0,10.0
1.840075490126979e-05,10,0.0,0.0,15.0
1.840075490126979e-05,11,0.0,0.0,20.0
1.840075490126979e-05,12,0.0,0.0,25.0
1.840075490126979e-05,13,0.0,0.0,30.0
1.840075490126979e-05,14,0.0,0.0,35.0
1.840075490126979e-05,15,0.0,0.0,40.0
1.840075490126979e-05,16,0.0,0.0,45.0
1.840075490126979e-05,17,0.0,0.0,50.0
1.882904761938776e-05,1,0.0,0.0,0.0
1.882904761938776e-05,2,0.0,0.0,0.0096
1.882904761938776e-05,3,0.0,0.0,0.1
1.882904761938776e-05,4,0.0,0.0,0.2
1.882904761938776e-05,5,0.0,0.0,0.5
1.882904761938776e-05,6,0.0,0.0,1.0
1.882904761938776e-05,7,0.0,0.0,2.5
1.882904761938776e-05,8,0.0,0.0,5.0
1.882904761938776e-05,9,0.0,0.0,10.0
1.882904761938776e-05,10,0.0,0.0,15.0
1.882904761938776e-05,11,0.0,0.0,20.0
1.882904761938776e-05,12,0.0,0.0,25.0
1.882904761938776e-05,13,0.0,0.0,30.0
1.882904761938776e-05,14,0.0,0.0,35.0
1.882904761938776e-05,15,0.0,0.0,40.0
1.882904761938776e-05,16,0.0,0.0,45.0
1.882904761938776e-05,17,0.0,0.0,50.0
1.9267309203097232e-05,1,0.0,0.0,0.0
1.9267309203097232e-05,2,0.0,0.0,0.0096
1.9267309203097232e-05,3,0.0,0.0,0.1
1.9267309203097232e-05,4,0.0,0.0,0.2
1.9267309203097232e-05,5,0.0,0.0,0.5
1.9267309203097232e-05,6,0.0,0.0,1.0
1.9267309203097232e-05,7,0.0,0.0,2.5
1.9267309203097232e-05,8,0.0,0.0,5.0
1.9267309203097232e-05,9,0.0,0.0,10.0
1.9267309203097232e-05,10,0.0,0.0,15.0
1.9267309203097232e-05,11,0.0,0.0,20.0
1.9267309203097232e-05,12,0.0,0.0,25.0
1.9267309203097232e-05,13,0.0,0.0,30.0
1.9267309203097232e-05,14,0.0,0.0,35.0
1.9267309203097232e-05,15,0.0,0.0,40.0
1.9267309203097232e-05,16,0.0,0.0,45.0
1.9267309203097232e-05,17,0.0,0.0,50.0
1.9715771685951376e-05,1,0.0,0.0,0.0
1.9715771685951376e-05,2,0.0,0.0,0.0096
1.9715771685951376e-05,3,0.0,0.0,0.1
1.9715771685951376e-05,4,0.0,0.0,0.2
1.9715771685951376e-05,5,0.0,0.0,0.5
1.9715771685951376e-05,6,0.0,0.0,1.0
1.9715771685951376e-05,7,0.0,0.0,2.5
1.9715771685951376e-05,8,0.0,0.0,5.0
1.9715771685951376e-05,9,0.0,0.0,10.0
1.9715771685951376e-05,10,0.0,0.0,15.0
1.9715771685951376e-05,11,0.0,0.0,20.0
1.9715771685951376e-05,12,0.0,0.0,25.0
1.9715771685951376e-05,13,0.0,0.0,30.0
1.9715771685951376e-05,14,0.0,0.0,35.0
1.9715771685951376e-05,15,0.0,0.0,40.0
1.9715771685951376e-05,16,0.0,0.0,45.0
1.9715771685951376e-05,17,0.0,0.0,50.0
2.0174672502275317e-05,1,0.0,0.0,0.0
2.0174672502275317e-05,2,0.0,0.0,0.0096
2.0174672502275317e-05,3,0.0,0.0,0.1
2.0174672502275317e-05,4,0.0,0.0,0.2
2.0174672502275317e-05,5,0.0,0.0,0.5
2.0174672502275317e-05,6,0.0,0.0,1.0
2.0174672502275317e-05,7,0.0,0.0,2.5
2.0174672502275317e-05,8,0.0,0.0,5.0
2.0174672502275317e-05,9,0.0,0.0,10.0
2.0174672502275317e-05,10,0.0,0.0,15.0
2.0174672502275317e-05,11,0.0,0.0,20.0
2.0174672502275317e-05,12,0.0,0.0,25.0
2.0174672502275317e-05,13,0.0,0.0,30.0
2.0174672502275317e-05,14,0.0,0.0,35.0
2.0174672502275317e-05,15,0.0,0.0,40.0
2.0174672502275317e-05,16,0.0,0.0,45.0
2.0174672502275317e-05,17,0.0,0.0,50.0
2.064425461287359e-05,1,0.0,0.0,0.0
2.064425461287359e-05,2,0.0,0.0,0.0096
2.064425461287359e-05,3,0.0,0.0,0.1
2.064425461287359e-05,4,0.0,0.0,0.2
2.064425461287359e-05,5,0.0,0.0,0.5
2.064425461287359e-05,6,0.0,0.0,1.0
2.064425461287359e-05,7,0.0,0.0,2.5
2.064425461287359e-05,8,0.0,0.0,5.0
2.064425461287359e-05,9,0.0,0.0,10.0
2.064425461287359e-05,10,0.0,0.0,15.0
