energy low [eV],energy high [eV],energy mid [eV],cell,mean,std. dev.,MT_fertile,kg/m3_fertile
1.38E-05,1.41E-05,1.40E-05,11,0,0,132.9,388.5964912
1.38E-05,1.41E-05,1.40E-05,12,0,0,265.8,777.1929825
1.38E-05,1.41E-05,1.40E-05,13,0,0,531.5,1554.093567
1.41E-05,1.45E-05,1.43E-05,1,0,0,0.0096,0.028070175
1.41E-05,1.45E-05,1.43E-05,2,0,0,0.1,0.292397661
1.41E-05,1.45E-05,1.43E-05,3,0,0,0.5,1.461988304
1.41E-05,1.45E-05,1.43E-05,4,0,0,2.65,7.748538012
1.41E-05,1.45E-05,1.43E-05,5,0,0,5,14.61988304
1.41E-05,1.45E-05,1.43E-05,6,0,0,10,29.23976608
1.41E-05,1.45E-05,1.43E-05,7,0,0,20,58.47953216
1.41E-05,1.45E-05,1.43E-05,8,0,0,30,87.71929825
1.41E-05,1.45E-05,1.43E-05,9,0,0,40,116.9590643
1.41E-05,1.45E-05,1.43E-05,10,0,0,50,146.1988304
1.41E-05,1.45E-05,1.43E-05,11,0,0,132.9,388.5964912
1.41E-05,1.45E-05,1.43E-05,12,0,0,265.8,777.1929825
1.41E-05,1.45E-05,1.43E-05,13,0,0,531.5,1554.093567
1.45E-05,1.48E-05,1.46E-05,1,0,0,0.0096,0.028070175
1.45E-05,1.48E-05,1.46E-05,2,0,0,0.1,0.292397661
1.45E-05,1.48E-05,1.46E-05,3,0,0,0.5,1.461988304
1.45E-05,1.48E-05,1.46E-05,4,0,0,2.65,7.748538012
1.45E-05,1.48E-05,1.46E-05,5,0,0,5,14.61988304
1.45E-05,1.48E-05,1.46E-05,6,0,0,10,29.23976608
1.45E-05,1.48E-05,1.46E-05,7,0,0,20,58.47953216
1.45E-05,1.48E-05,1.46E-05,8,0,0,30,87.71929825
1.45E-05,1.48E-05,1.46E-05,9,0,0,40,116.9590643
1.45E-05,1.48E-05,1.46E-05,10,0,0,50,146.1988304
1.45E-05,1.48E-05,1.46E-05,11,0,0,132.9,388.5964912
1.45E-05,1.48E-05,1.46E-05,12,0,0,265.8,777.1929825
1.45E-05,1.48E-05,1.46E-05,13,0,0,531.5,1554.093567
1.48E-05,1.51E-05,1.50E-05,1,0,0,0.0096,0.028070175
1.48E-05,1.51E-05,1.50E-05,2,0,0,0.1,0.292397661
1.48E-05,1.51E-05,1.50E-05,3,0,0,0.5,1.461988304
1.48E-05,1.51E-05,1.50E-05,4,0,0,2.65,7.748538012
1.48E-05,1.51E-05,1.50E-05,5,0,0,5,14.61988304
1.48E-05,1.51E-05,1.50E-05,6,0,0,10,29.23976608
1.48E-05,1.51E-05,1.50E-05,7,0,0,20,58.47953216
1.48E-05,1.51E-05,1.50E-05,8,0,0,30,87.71929825
1.48E-05,1.51E-05,1.50E-05,9,0,0,40,116.9590643
1.48E-05,1.51E-05,1.50E-05,10,0,0,50,146.1988304
1.48E-05,1.51E-05,1.50E-05,11,0,0,132.9,388.5964912
1.48E-05,1.51E-05,1.50E-05,12,0,0,265.8,777.1929825
1.48E-05,1.51E-05,1.50E-05,13,0,0,531.5,1554.093567
1.51E-05,1.55E-05,1.53E-05,1,0,0,0.0096,0.028070175
1.51E-05,1.55E-05,1.53E-05,2,0,0,0.1,0.292397661
1.51E-05,1.55E-05,1.53E-05,3,0,0,0.5,1.461988304
1.51E-05,1.55E-05,1.53E-05,4,0,0,2.65,7.748538012
1.51E-05,1.55E-05,1.53E-05,5,0,0,5,14.61988304
1.51E-05,1.55E-05,1.53E-05,6,0,0,10,29.23976608
1.51E-05,1.55E-05,1.53E-05,7,0,0,20,58.47953216
1.51E-05,1.55E-05,1.53E-05,8,0,0,30,87.71929825
1.51E-05,1.55E-05,1.53E-05,9,0,0,40,116.9590643
1.51E-05,1.55E-05,1.53E-05,10,0,0,50,146.1988304
1.51E-05,1.55E-05,1.53E-05,11,0,0,132.9,388.5964912
1.51E-05,1.55E-05,1.53E-05,12,0,0,265.8,777.1929825
1.51E-05,1.55E-05,1.53E-05,13,0,0,531.5,1554.093567
1.55E-05,1.58E-05,1.57E-05,1,0,0,0.0096,0.028070175
1.55E-05,1.58E-05,1.57E-05,2,0,0,0.1,0.292397661
1.55E-05,1.58E-05,1.57E-05,3,0,0,0.5,1.461988304
1.55E-05,1.58E-05,1.57E-05,4,0,0,2.65,7.748538012
1.55E-05,1.58E-05,1.57E-05,5,0,0,5,14.61988304
1.55E-05,1.58E-05,1.57E-05,6,0,0,10,29.23976608
1.55E-05,1.58E-05,1.57E-05,7,0,0,20,58.47953216
1.55E-05,1.58E-05,1.57E-05,8,0,0,30,87.71929825
1.55E-05,1.58E-05,1.57E-05,9,0,0,40,116.9590643
1.55E-05,1.58E-05,1.57E-05,10,0,0,50,146.1988304
1.55E-05,1.58E-05,1.57E-05,11,0,0,132.9,388.5964912
1.55E-05,1.58E-05,1.57E-05,12,0,0,265.8,777.1929825
1.55E-05,1.58E-05,1.57E-05,13,0,0,531.5,1554.093567
1.58E-05,1.62E-05,1.60E-05,1,0,0,0.0096,0.028070175
1.58E-05,1.62E-05,1.60E-05,2,0,0,0.1,0.292397661
1.58E-05,1.62E-05,1.60E-05,3,0,0,0.5,1.461988304
1.58E-05,1.62E-05,1.60E-05,4,0,0,2.65,7.748538012
1.58E-05,1.62E-05,1.60E-05,5,0,0,5,14.61988304
1.58E-05,1.62E-05,1.60E-05,6,0,0,10,29.23976608
1.58E-05,1.62E-05,1.60E-05,7,0,0,20,58.47953216
1.58E-05,1.62E-05,1.60E-05,8,0,0,30,87.71929825
1.58E-05,1.62E-05,1.60E-05,9,0,0,40,116.9590643
1.58E-05,1.62E-05,1.60E-05,10,0,0,50,146.1988304
1.58E-05,1.62E-05,1.60E-05,11,0,0,132.9,388.5964912
1.58E-05,1.62E-05,1.60E-05,12,0,0,265.8,777.1929825
1.58E-05,1.62E-05,1.60E-05,13,0,0,531.5,1554.093567
1.62E-05,1.66E-05,1.64E-05,1,0,0,0.0096,0.028070175
1.62E-05,1.66E-05,1.64E-05,2,0,0,0.1,0.292397661
1.62E-05,1.66E-05,1.64E-05,3,0,0,0.5,1.461988304
1.62E-05,1.66E-05,1.64E-05,4,0,0,2.65,7.748538012
1.62E-05,1.66E-05,1.64E-05,5,0,0,5,14.61988304
1.62E-05,1.66E-05,1.64E-05,6,0,0,10,29.23976608
1.62E-05,1.66E-05,1.64E-05,7,0,0,20,58.47953216
1.62E-05,1.66E-05,1.64E-05,8,0,0,30,87.71929825
1.62E-05,1.66E-05,1.64E-05,9,0,0,40,116.9590643
1.62E-05,1.66E-05,1.64E-05,10,0,0,50,146.1988304
1.62E-05,1.66E-05,1.64E-05,11,0,0,132.9,388.5964912
1.62E-05,1.66E-05,1.64E-05,12,0,0,265.8,777.1929825
1.62E-05,1.66E-05,1.64E-05,13,0,0,531.5,1554.093567
1.66E-05,1.70E-05,1.68E-05,1,0,0,0.0096,0.028070175
1.66E-05,1.70E-05,1.68E-05,2,0,0,0.1,0.292397661
1.66E-05,1.70E-05,1.68E-05,3,0,0,0.5,1.461988304
1.66E-05,1.70E-05,1.68E-05,4,0,0,2.65,7.748538012
1.66E-05,1.70E-05,1.68E-05,5,0,0,5,14.61988304
1.66E-05,1.70E-05,1.68E-05,6,0,0,10,29.23976608
1.66E-05,1.70E-05,1.68E-05,7,0,0,20,58.47953216
1.66E-05,1.70E-05,1.68E-05,8,0,0,30,87.71929825
1.66E-05,1.70E-05,1.68E-05,9,0,0,40,116.9590643
1.66E-05,1.70E-05,1.68E-05,10,0,0,50,146.1988304
1.66E-05,1.70E-05,1.68E-05,11,0,0,132.9,388.5964912
1.66E-05,1.70E-05,1.68E-05,12,0,0,265.8,777.1929825
1.66E-05,1.70E-05,1.68E-05,13,0,0,531.5,1554.093567
1.70E-05,1.74E-05,1.72E-05,1,0,0,0.0096,0.028070175
1.70E-05,1.74E-05,1.72E-05,2,0,0,0.1,0.292397661
1.70E-05,1.74E-05,1.72E-05,3,0,0,0.5,1.461988304
1.70E-05,1.74E-05,1.72E-05,4,0,0,2.65,7.748538012
1.70E-05,1.74E-05,1.72E-05,5,0,0,5,14.61988304
1.70E-05,1.74E-05,1.72E-05,6,0,0,10,29.23976608
1.70E-05,1.74E-05,1.72E-05,7,0,0,20,58.47953216
1.70E-05,1.74E-05,1.72E-05,8,0,0,30,87.71929825
1.70E-05,1.74E-05,1.72E-05,9,0,0,40,116.9590643
1.70E-05,1.74E-05,1.72E-05,10,0,0,50,146.1988304
1.70E-05,1.74E-05,1.72E-05,11,0,0,132.9,388.5964912
1.70E-05,1.74E-05,1.72E-05,12,0,0,265.8,777.1929825
1.70E-05,1.74E-05,1.72E-05,13,0,0,531.5,1554.093567
1.74E-05,1.78E-05,1.76E-05,1,0,0,0.0096,0.028070175
1.74E-05,1.78E-05,1.76E-05,2,0,0,0.1,0.292397661
1.74E-05,1.78E-05,1.76E-05,3,0,0,0.5,1.461988304
1.74E-05,1.78E-05,1.76E-05,4,0,0,2.65,7.748538012
1.74E-05,1.78E-05,1.76E-05,5,0,0,5,14.61988304
1.74E-05,1.78E-05,1.76E-05,6,0,0,10,29.23976608
1.74E-05,1.78E-05,1.76E-05,7,0,0,20,58.47953216
1.74E-05,1.78E-05,1.76E-05,8,0,0,30,87.71929825
1.74E-05,1.78E-05,1.76E-05,9,0,0,40,116.9590643
1.74E-05,1.78E-05,1.76E-05,10,0,0,50,146.1988304
1.74E-05,1.78E-05,1.76E-05,11,0,0,132.9,388.5964912
1.74E-05,1.78E-05,1.76E-05,12,0,0,265.8,777.1929825
1.74E-05,1.78E-05,1.76E-05,13,0,0,531.5,1554.093567
1.78E-05,1.82E-05,1.80E-05,1,0,0,0.0096,0.028070175
1.78E-05,1.82E-05,1.80E-05,2,0,0,0.1,0.292397661
1.78E-05,1.82E-05,1.80E-05,3,0,0,0.5,1.461988304
1.78E-05,1.82E-05,1.80E-05,4,0,0,2.65,7.748538012
1.78E-05,1.82E-05,1.80E-05,5,0,0,5,14.61988304
1.78E-05,1.82E-05,1.80E-05,6,0,0,10,29.23976608
1.78E-05,1.82E-05,1.80E-05,7,0,0,20,58.47953216
1.78E-05,1.82E-05,1.80E-05,8,0,0,30,87.71929825
1.78E-05,1.82E-05,1.80E-05,9,0,0,40,116.9590643
1.78E-05,1.82E-05,1.80E-05,10,0,0,50,146.1988304
1.78E-05,1.82E-05,1.80E-05,11,0,0,132.9,388.5964912
1.78E-05,1.82E-05,1.80E-05,12,0,0,265.8,777.1929825
1.78E-05,1.82E-05,1.80E-05,13,0,0,531.5,1554.093567
1.82E-05,1.86E-05,1.84E-05,1,0,0,0.0096,0.028070175
1.82E-05,1.86E-05,1.84E-05,2,0,0,0.1,0.292397661
1.82E-05,1.86E-05,1.84E-05,3,0,0,0.5,1.461988304
1.82E-05,1.86E-05,1.84E-05,4,0,0,2.65,7.748538012
1.82E-05,1.86E-05,1.84E-05,5,0,0,5,14.61988304
1.82E-05,1.86E-05,1.84E-05,6,0,0,10,29.23976608
1.82E-05,1.86E-05,1.84E-05,7,0,0,20,58.47953216
1.82E-05,1.86E-05,1.84E-05,8,0,0,30,87.71929825
1.82E-05,1.86E-05,1.84E-05,9,0,0,40,116.9590643
1.82E-05,1.86E-05,1.84E-05,10,0,0,50,146.1988304
1.82E-05,1.86E-05,1.84E-05,11,0,0,132.9,388.5964912
1.82E-05,1.86E-05,1.84E-05,12,0,0,265.8,777.1929825
1.82E-05,1.86E-05,1.84E-05,13,0,0,531.5,1554.093567
1.86E-05,1.90E-05,1.88E-05,1,0,0,0.0096,0.028070175
1.86E-05,1.90E-05,1.88E-05,2,0,0,0.1,0.292397661
1.86E-05,1.90E-05,1.88E-05,3,0,0,0.5,1.461988304
1.86E-05,1.90E-05,1.88E-05,4,0,0,2.65,7.748538012
1.86E-05,1.90E-05,1.88E-05,5,0,0,5,14.61988304
1.86E-05,1.90E-05,1.88E-05,6,0,0,10,29.23976608
1.86E-05,1.90E-05,1.88E-05,7,0,0,20,58.47953216
1.86E-05,1.90E-05,1.88E-05,8,0,0,30,87.71929825
1.86E-05,1.90E-05,1.88E-05,9,0,0,40,116.9590643
1.86E-05,1.90E-05,1.88E-05,10,0,0,50,146.1988304
1.86E-05,1.90E-05,1.88E-05,11,0,0,132.9,388.5964912
1.86E-05,1.90E-05,1.88E-05,12,0,0,265.8,777.1929825
1.86E-05,1.90E-05,1.88E-05,13,0,0,531.5,1554.093567
1.90E-05,1.95E-05,1.93E-05,1,0,0,0.0096,0.028070175
1.90E-05,1.95E-05,1.93E-05,2,0,0,0.1,0.292397661
1.90E-05,1.95E-05,1.93E-05,3,0,0,0.5,1.461988304
1.90E-05,1.95E-05,1.93E-05,4,0,0,2.65,7.748538012
1.90E-05,1.95E-05,1.93E-05,5,0,0,5,14.61988304
1.90E-05,1.95E-05,1.93E-05,6,0,0,10,29.23976608
1.90E-05,1.95E-05,1.93E-05,7,0,0,20,58.47953216
1.90E-05,1.95E-05,1.93E-05,8,0,0,30,87.71929825
1.90E-05,1.95E-05,1.93E-05,9,0,0,40,116.9590643
1.90E-05,1.95E-05,1.93E-05,10,0,0,50,146.1988304
1.90E-05,1.95E-05,1.93E-05,11,0,0,132.9,388.5964912
1.90E-05,1.95E-05,1.93E-05,12,0,0,265.8,777.1929825
1.90E-05,1.95E-05,1.93E-05,13,0,0,531.5,1554.093567
1.95E-05,1.99E-05,1.97E-05,1,0,0,0.0096,0.028070175
1.95E-05,1.99E-05,1.97E-05,2,0,0,0.1,0.292397661
1.95E-05,1.99E-05,1.97E-05,3,0,0,0.5,1.461988304
1.95E-05,1.99E-05,1.97E-05,4,0,0,2.65,7.748538012
