energy_mid_eV,"U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,elastic)","U (n,elastic) err","U (n,n')","U (n,n') err"
1.9931019155294343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0265005397736995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0604588283746734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.094986159688479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1300920692253653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1657862522831586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2020785666248397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.238979035200987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2764978489178467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.314645369451782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3534321321108873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3928688487445533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4329664107017894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.473735891839116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.515188551578867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5573358380187305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.600189391093407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6437610457892404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6880628354127207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7331069949137543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7789059642646263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8254723918955826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
