energy low [eV],energy high [eV],energy mid [eV],cell,mean,std. dev.
366.8461123259287,375.3847575838064,371.1154349548675,32,3.571777481626505e-05,1.7218455203522762e-08
375.3847575838064,384.1221468392076,379.753452211507,32,0.0005452667819615394,3.855035170582346e-07
384.1221468392076,393.0629060222845,388.59252643074603,32,1.2902134861998443e-05,7.690431757855598e-09
393.0629060222845,402.2117687355211,397.63733737890277,32,0.0020959325213374845,1.4789444999271344e-06
402.2117687355211,411.57357875989607,406.8926737477086,32,0.003875748875198603,2.461487167952119e-06
411.57357875989607,421.1532926193776,416.36343568963684,32,6.034748154322321e-05,5.19116680576023e-08
421.1532926193776,430.95598220510976,426.05463741224366,32,5.9699791583694965e-06,2.8642636358897245e-09
430.95598220510976,440.98683746067815,435.971409832894,32,0.0025226080014188286,1.4423633143343924e-06
440.98683746067815,451.2511691298777,446.11900329527793,32,2.6693597139515342e-05,1.2623320267197674e-08
451.2511691298777,461.7544115684372,456.50279034915746,32,0.00016639564366601584,1.0807544563581281e-07
461.7544115684372,472.5021256211886,467.1282685948129,32,0.0014597874098645541,1.068829418217437e-06
472.5021256211886,483.50000156620507,478.0010635936968,32,0.0010693835633780939,8.377944030399172e-07
483.50000156620507,494.7538621274663,489.12693184683565,32,0.0002892386721362213,1.653975224688319e-07
494.7538621274663,506.2696655576459,500.5117638425561,32,3.5305981147437494e-05,2.6185283750094583e-08
506.2696655576459,518.0535087926535,512.1615871751496,32,0.0010327350874850358,1.0481499921963586e-06
518.0535087926535,530.111630679601,524.0825697361272,32,0.002179218007979594,2.046801938674438e-06
530.111630679601,542.4504152799029,536.2810229797519,32,0.003030363053552799,2.085232756427505e-06
542.4504152799029,555.0763952492586,548.7634052645808,32,4.501305215560278e-05,2.8905099086611728e-08
555.0763952492586,567.9962552963061,561.5363252727823,32,0.00020419169866502232,1.301882496789768e-07
567.9962552963061,581.2168357217809,574.6065455090435,32,0.0024854876858288605,1.933471054432166e-06
581.2168357217809,594.7451360400482,587.9809858809145,32,0.0010875598916430986,1.153775820707006e-06
594.7451360400482,608.5883186849343,601.6667273624912,32,0.0016893719991223095,1.6855073935599468e-06
608.5883186849343,622.7537128018045,615.6710157433694,32,0.002148741843723716,1.6837018154055085e-06
622.7537128018045,637.2488181279201,630.0012654648623,32,0.0010659220890822348,6.004326266014729e-07
637.2488181279201,652.0813089630998,644.66506354551,32,1.71992020335072e-05,7.494922633237893e-09
652.0813089630998,667.2590382328082,659.670173597954,32,0.002142760701280796,1.6174463057346172e-06
667.2590382328082,682.7900416458145,675.0245399393114,32,0.00014666707556881904,1.0034347744100898e-07
682.7900416458145,698.6825419486249,690.7362917972198,32,0.0019237103943653827,1.8517438157355344e-06
698.6825419486249,714.9449532789395,706.8137476137822,32,0.0016793781427729085,1.264227666135929e-06
714.9449532789395,731.58588562044,723.2654194496897,32,0.00035043130652628103,2.4714455093726294e-07
731.58588562044,748.6141493612662,740.1000174908531,32,0.000298836350923381,2.232386953412006e-07
748.6141493612662,766.0387599585947,757.3264546599305,32,0.0007385221951850142,5.253026219771789e-07
766.0387599585947,783.8689427117897,774.9538513351922,32,0.00030009520563116987,1.6157474523679282e-07
783.8689427117897,802.1141376466522,792.9915401792209,32,0.0006996180140767766,4.952109621495421e-07
802.1141376466522,820.7840045133552,811.4490710800037,32,0.00032931794404940243,3.8779132303722026e-07
820.7840045133552,839.8884279007087,830.336216207032,32,0.001221413812949808,1.0348023180267613e-06
839.8884279007087,859.4375224694649,849.6629751850868,32,0.0029865199144117217,1.6889025354461156e-06
859.4375224694649,879.4416383074309,869.4395803884479,32,0.00045664110520107423,5.693092882226319e-07
879.4416383074309,899.9113664092285,889.6765023583298,32,6.448899058039123e-05,4.37199917746617e-08
899.9113664092285,920.8575442835978,910.3844553464132,32,0.0014046742975654606,1.1236875710806331e-06
920.8575442835978,942.291261691216,931.574402987407,32,0.001946859832830519,1.3256140795811082e-06
942.291261691216,964.2238665160701,953.2575641036431,32,0.0010823164738112112,7.235311131649366e-07
964.2238665160701,986.6669707734899,975.4454186447799,32,0.0001349843546520649,6.98594059128692e-08
