filename,fertile_kg/m3,fertile_mt,energy mid [eV],mean
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,7.841092452055465e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,8.02360033378772e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,8.21035623671065e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,8.401459037014513e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,8.597009912314279e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,8.797112395217201e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,9.001872428137205e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,9.2113984193851e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,9.425801300564392e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,9.645194585302958e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,9.869694429351806e-05,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001009941969208,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001033449199941,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001057503580821,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001082117847219,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001107305030929,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001133078467075,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001159451801164,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001186438996315,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000121405434065,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001242312454857,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001271228299935,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001300817185111,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001331094775948,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001362077102636,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001393780568483,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001426221958597,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001459418448772,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001493387614583,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001528147440693,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000156371633037,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001600113115235,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000163735706523,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001675467898822,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001714465793438,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001754371396156,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001795205834627,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000183699072827,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000187974819971,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001923500886497,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0001968271953086,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002014085103107,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002060964591908,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002108935239403,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002158022443209,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002208252192093,0.0
