energy mid [eV],energy low [eV],energy high [eV],mean,filename,fertile_kg/m3,fertile_mt,br_vol_m3
0.1164956385828823,0.1138186294794084,0.1191726476863563,4.132999999999999e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1219755830599472,0.1191726476863563,0.1247785184335382,4.289999999999999e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1277133036377916,0.1247785184335382,0.1306480888420451,4.512e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1337209260812679,0.1306480888420451,0.1367937633204908,4.625e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1400111465501287,0.1367937633204908,0.1432285297797666,4.802999999999999e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1465972584303518,0.1432285297797666,0.149965987080937,5.142e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1534931804276094,0.149965987080937,0.1570203737742816,5.417e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1607134859822501,0.1570203737742816,0.1644065981902185,5.462000000000001e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1682734340679605,0.1644065981902185,0.1721402699457026,5.6e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1761890014391922,0.1721402699457026,0.1802377329326819,5.709000000000001e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.184476916395505,0.1802377329326819,0.1887160998583282,5.758e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.1931546941341821,0.1887160998583282,0.1975932884100361,5.887999999999997e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.2022406737658291,0.1975932884100361,0.206888059121622,6.025000000000001e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.211754057071183,0.206888059121622,0.216620055020744,5.894999999999999e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.221714949081039,0.216620055020744,0.226809843141334,5.9719999999999984e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.2321444005650526,0.226809843141334,0.2374789579887712,5.955e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.2430644525192115,0.2374789579887712,0.2486499470496519,5.813e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.2544981827459943,0.2486499470496519,0.2603464184423366,5.696000000000002e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.2664697546256551,0.2603464184423366,0.2725930908089736,5.764e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.2790044681817063,0.2725930908089736,0.285415845554439,5.567e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.2921288135485158,0.285415845554439,0.2988417815425926,5.4130000000000005e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.3058705269540162,0.2988417815425926,0.3128992723654396,5.400999999999999e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.3202586493358345,0.3128992723654396,0.3276180263062294,5.007e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.3353235877147211,0.3276180263062294,0.3430291491232128,5.058e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.3510971794549777,0.3430291491232128,0.3591652097867426,4.724e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.367612759547691,0.3591652097867426,0.3760603093086394,4.439e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.3849052310589632,0.3760603093086394,0.393750152809287,4.3020000000000005e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.4030111388920216,0.393750152809287,0.4122721249747562,4.112999999999999e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.4219687470190908,0.4122721249747562,0.4316653690634254,3.885999999999999e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.4418181193462454,0.4316653690634254,0.4519708696290653,3.691999999999999e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.462601204382138,0.4519708696290653,0.4732315391352106,3.439000000000001e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.4843619238895373,0.4732315391352106,0.4954923086438639,3.3079999999999995e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.5071462657070258,0.4954923086438639,0.5188002227701878,3.135e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.5310023809370227,0.5188002227701878,0.5432045391038576,2.912e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.5559806857055216,0.5432045391038576,0.5687568323071858,2.813e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.5821339677085989,0.5687568323071858,0.5955111031100121,2.647000000000001e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.6095174977708593,0.5955111031100121,0.6235238924317065,2.6090000000000003e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.6381891466515808,0.6235238924317065,0.6528544008714552,2.463e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.66820950734541,0.6528544008714552,0.6835646138193648,2.348e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.6996420231360723,0.6835646138193648,0.7157194324527797,2.337e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.7325531216737164,0.7157194324527797,0.7493868108946533,2.378e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.7670123553592461,0.7493868108946533,0.7846378998238388,2.189000000000001e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.8030925483323164,0.7846378998238388,0.8215471968407938,2.179e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.8408699503736345,0.8215471968407938,0.8601927039064753,2.127e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.8804243980468105,0.8601927039064753,0.9006560921871456,2.1210000000000005e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.9218394834203048,0.9006560921871456,0.9430228746534638,2.116e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
0.9652027307260432,0.9430228746534638,0.9873825867986226,2.1349999999999997e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
1.0106057813280365,0.9873825867986226,1.0338289758574506,2.1070000000000003e-05,tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500.0,349.58271840401363,699.1654368080273
