filename,src-n,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","U235(n,inel)","U235(n,inel)_sd","U238(n,inel)","U238(n,inel)_sd","Th232(n,inel)","Th232(n,inel)_sd","U235(n,el)","U235(n,el)_sd","U238(n,el)","U238(n,el)_sd","Th232(n,el)","Th232(n,el)_sd","Li6(n,el)","Li6(n,el)_sd","Li7(n,el)","Li7(n,el)_sd","Be9(n,el)","Be9(n,el)_sd","Pb(n,el)","Pb(n,el)_sd","tot(n,fis)","tot(n,fis)_sd","tot(n,nufis)","tot(n,nufis)_sd",tbr,tbr_sd,Pu239_kg/yr,Pu239_kg/yr_sd,U233_kg/yr,U233_kg/yr_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_FLiBe_900K_Li07.5_Th232_0010.00kgm3_4e5x25,10000000,10.0,7.733,1.0834849541818483,0.00032954326486,0.1000465085598594,4.859761148324765e-05,0.1058235288141005,4.7739308514713855e-05,0.0,0.0,0.0,0.0,0.0118691898643358,1.1628595714580491e-05,0.0,0.0,0.0,0.0,0.0025540061178747,2.813398070319315e-05,0.0,0.0,0.0,0.0,0.0661663722453681,1.9786659582766107e-05,0.3125819276865838,7.088278215412421e-05,4.638533015866496,0.0010182499740164,10.8231307260579,0.0025199739083716,0.0,0.0,0.0001493903161568,6.449414360244629e-08,0.0004969184281277,2.185967668308085e-07,1.1835314627417075,0.0003781408763433,0.0,0.0,51.372579279572,0.0503312325512963,0.0010226,9.932564287903025e-06,639.3380277528644,0.1690684829885813,1.5284858796757554,0.0006588554002993
tallies_FLiBe_900K_Li07.5_Th232_0025.00kgm3_4e4x25,1000000,25.0,19.3325,1.0705935939401836,0.0011492908210564,0.0997872745910378,0.0001192646961178,0.1055005883941166,0.0001202023914438,0.0,0.0,0.0,0.0,0.0278362921856063,7.271177870633844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1628493201223234,0.0001618846146847,0.3116300074955345,0.0002243845730203,4.622566081386129,0.0031453937927877,10.781453293382024,0.0086286813943595,0.0,0.0,0.0003735502081171,4.002467245078473e-07,0.0012426984988302,1.3544648927130688e-06,1.1703808685312216,0.0012685555171743,0.0,0.0,120.48186468490788,0.3147132751978334,0.00103,3.696845502136468e-05,642.461112473654,0.4426473321119298,3.8219125193661614,0.0040924371275505
tallies_FLiBe_900K_Li07.5_Th232_0025.00kgm3_4e5x25,10000000,25.0,19.3325,1.0694631364067613,0.0003945438275507,0.0996269973287431,4.866608862105053e-05,0.1053816249886956,4.680244806795392e-05,0.0,0.0,0.0,0.0,0.0277370673161873,2.3023316583908045e-05,0.0,0.0,0.0,0.0,0.0063824033349022,6.221334302153247e-05,0.0,0.0,0.0,0.0,0.1627735013418295,4.378041066733848e-05,0.3113997564309175,7.028535689279495e-05,4.619466240355816,0.000997544365464,10.774267333758788,0.0025349518021115,0.0,0.0,0.0003730657709238,1.6135425710974424e-07,0.0012410058025802,5.476014621805348e-07,1.1690901337355042,0.0004432099161718,0.0,0.0,120.05239666484955,0.0996502010671713,0.0010107,1.1458730296153414e-05,641.7237419964791,0.1869420835320293,3.816990902179077,0.0016480408238332
tallies_FLiBe_900K_Li07.5_Th232_0050.00kgm3_4e5x25,10000000,50.0,38.665,1.0494638312351197,0.0003981046089641,0.0989241932402289,4.506413932273644e-05,0.1046276145580084,4.440098061498247e-05,0.0,0.0,0.0,0.0,0.050918932639058,4.721891261036065e-05,0.0,0.0,0.0,0.0,0.0127551800712146,0.0001146822004376,0.0,0.0,0.0,0.0,0.3192020518213249,8.037834423566606e-05,0.3095070426216124,6.743130476600366e-05,4.588929066934018,0.000971790881528,10.69747325907062,0.0023435674225243,0.0,0.0,0.0007447017140503,3.081368709483293e-07,0.0024775363724862,1.043973591131328e-06,1.1483880244753486,0.0004431687482868,0.0,0.0,220.38883308212743,0.2043742967546393,0.000993,1.1355982270739337e-05,645.7419302356601,0.1896096426192402,7.619242016232188,0.003148016262498
tallies_FLiBe_900K_Li07.5_Th232_0050.00kgm3_4e4x25,1000000,50.0,38.665,1.0494772001148236,0.0011100518337267,0.0990580843750423,0.0001247594883315,0.104727945024691,0.0001267483560919,0.0,0.0,0.0,0.0,0.0508327482470314,0.0001266933794182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3191808976187872,0.0002915686913904,0.3096737866190374,0.0002186240639182,4.590682055723474,0.003214506889092,10.699256636437042,0.0084570604664239,0.0,0.0,0.0007455670497741,8.589019393502706e-07,0.002480523570167,2.8610728874664924e-06,1.1485352844898655,0.0012348113220583,0.0,0.0,220.0158072427355,0.5483580389861065,0.0010179999999999,2.7783388322281423e-05,646.1190224859164,0.4616661643028331,7.628049404409335,0.0087985309032727
tallies_FLiBe_900K_Li07.5_Th232_0075.00kgm3_4e5x25,10000000,75.0,57.9975,1.0315361027208905,0.0004325451685876,0.098221342086999,4.326642245702431e-05,0.1038772179586975,4.2886888556097145e-05,0.0,0.0,0.0,0.0,0.0712742033418957,6.028480898504899e-05,0.0,0.0,0.0,0.0,0.0191161545392009,0.0001866314439281,0.0,0.0,0.0,0.0,0.4717359989451882,0.0001300219170584,0.3076486395578721,7.399122677588242e-05,4.559106005086317,0.0010339078013913,10.623340887700031,0.0024360714240734,0.0,0.0,0.0011148496720692,4.487519787357768e-07,0.0037095014176833,1.5216099499737666e-06,1.1297574448078895,0.0004758115910446,0.0,0.0,308.4911189071078,0.2609264966132189,0.0009741,1.2432216214336585e-05,649.5773419762845,0.2002773767480396,11.406117755387104,0.0045853129968969
tallies_FLiBe_900K_Li07.5_Th232_0075.00kgm3_4e4x25,1000000,75.0,57.9975,1.031019462005332,0.0011127251367509,0.0983257225699542,0.0001192733120218,0.1039497924697469,0.000124676686111,0.0,0.0,0.0,0.0,0.0710885771701762,0.0001503416542462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4717157416654354,0.000422684757362,0.3078013887935945,0.0001991607873788,4.560462961862267,0.0028514610514075,10.624770264605646,0.0075886877272719,0.0,0.0,0.0011158288627677,1.2817894056234768e-06,0.0037128637744834,4.218336606373551e-06,1.1293451845752864,0.0012319984487728,0.0,0.0,307.68768621018233,0.6507132028443756,0.000946,3.114749856194957e-05,649.7066337849859,0.4232855815097135,11.416090947634512,0.013152281745804
tallies_FLiBe_900K_Li07.5_Th232_0100.00kgm3_4e4x25,1000000,100.0,77.33,1.0155584388816905,0.001308857863705,0.0976086143892633,0.0001111823585583,0.1032148020871372,0.0001186659326741,0.0,0.0,0.0,0.0,0.0894481415279962,0.0001849270114308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6213116421803763,0.0005877492109641,0.3059724171681407,0.0002240960345257,4.531676493591842,0.0031850560490006,10.553524888698885,0.008517045658516,0.0,0.0,0.001484996661116,1.655684725789135e-06,0.0049415693508797,5.412386323056602e-06,1.1131670532709537,0.0014200402222633,0.0,0.0,387.1520966957323,0.8004065706463825,0.0009869999999999,2.9760152329359667e-05,653.7074609127563,0.4985504920612955,15.19294139463146,0.0170086808075741
tallies_FLiBe_900K_Li07.5_Th232_0100.00kgm3_4e5x25,10000000,100.0,77.33,1.0157020226237172,0.0003578656783507,0.0975169495966003,4.633911161572981e-05,0.103122970872445,4.625319834294776e-05,0.0,0.0,0.0,0.0,0.0896776573739949,5.613779257058911e-05,0.0,0.0,0.0,0.0,0.0254670277268961,0.0002444945438822,0.0,0.0,0.0,0.0,0.6214731772089772,0.0001706470569527,0.3058629783634091,7.00269689355926e-05,4.530721938898831,0.0010055647314034,10.553956099651549,0.0024358379817074,0.0,0.0,0.0014835630233293,6.294878969215065e-07,0.0049369570916444,2.123795556305057e-06,1.1132189722203176,0.0004042047899665,0.0,0.0,388.14549398141537,0.242977257283442,0.0009654,1.1611488563774182e-05,653.4650797266909,0.184015697989609,15.178212950846667,0.0064365165956636
tallies_FLiBe_900K_Li07.5_Th232_0150.00kgm3_4e5x25,10000000,150.0,115.995,0.9879465147740664,0.0003539419168125,0.0961340974087298,4.451404058832609e-05,0.1016416105574821,4.422959557322367e-05,0.0,0.0,0.0,0.0,0.1226313833014795,7.702431793871579e-05,0.0,0.0,0.0,0.0,0.038139820845695,0.0003115790995307,0.0,0.0,0.0,0.0,0.9148101212761584,0.0002188814464836,0.3024373057187967,5.791911307665683e-05,4.475974661092874,0.0008595827223482,10.420957883079442,0.0021239247408748,0.0,0.0,0.0022167122487298,9.236870889598808e-07,0.0073784408601767,3.1198836178250064e-06,1.0840806121827962,0.0003984559574008,0.0,0.0,530.7767870281135,0.3333789352929056,0.0009256,1.1666619047520996e-05,661.2967793518102,0.1492719381379004,22.67832269504061,0.0094438229559516
