filename,fertile_kg/m3,energy mid [eV],mean,energy low [eV],energy high [eV]
prism_B_U238_750.00kgm3,750.0,55.0,0.0191060893687761,10.0,100.0
prism_B_U238_750.00kgm3,750.0,550.0,0.048586772736205,100.0,1000.0
prism_B_U238_750.00kgm3,750.0,5500.0,0.0328551400929907,1000.0,10000.0
prism_B_U238_750.00kgm3,750.0,55000.0,0.0165963162300845,10000.0,100000.0
prism_B_U238_750.00kgm3,750.0,550000.0,0.0058997435005246,100000.0,1000000.0
prism_B_U238_750.00kgm3,750.0,5500000.0,0.0010755652784937,1000000.0,10000000.0
prism_B_U238_750.00kgm3,750.0,55000000.0,8.773407579308114e-06,10000000.0,100000000.0
prism_B_U238_999.99kgm3,999.99,0.005,0.0,0.0,0.01
prism_B_U238_999.99kgm3,999.99,0.055,0.0,0.01,0.1
prism_B_U238_999.99kgm3,999.99,0.55,6.06036590307065e-09,0.1,1.0
prism_B_U238_999.99kgm3,999.99,5.5,0.0009481901548646,1.0,10.0
prism_B_U238_999.99kgm3,999.99,55.0,0.0225858292769352,10.0,100.0
prism_B_U238_999.99kgm3,999.99,550.0,0.0605232157247834,100.0,1000.0
prism_B_U238_999.99kgm3,999.99,5500.0,0.043373438167376,1000.0,10000.0
prism_B_U238_999.99kgm3,999.99,55000.0,0.022476142087881,10000.0,100000.0
prism_B_U238_999.99kgm3,999.99,550000.0,0.0079554290436115,100000.0,1000000.0
prism_B_U238_999.99kgm3,999.99,5500000.0,0.001426740575025,1000000.0,10000000.0
prism_B_U238_999.99kgm3,999.99,55000000.0,1.1472421265100609e-05,10000000.0,100000000.0
prism_B_U238_060.00kgm3,60.0,0.005,0.0,0.0,0.01
prism_B_U238_060.00kgm3,60.0,0.055,0.0,0.01,0.1
prism_B_U238_060.00kgm3,60.0,0.55,2.746143145089033e-09,0.1,1.0
prism_B_U238_060.00kgm3,60.0,5.5,0.00014062515435449724,1.0,10.0
prism_B_U238_060.00kgm3,60.0,55.0,0.0026412647854850996,10.0,100.0
prism_B_U238_060.00kgm3,60.0,550.0,0.0052291161820574,100.0,1000.0
prism_B_U238_060.00kgm3,60.0,5500.0,0.0027659692454379,1000.0,10000.0
prism_B_U238_060.00kgm3,60.0,55000.0,0.0013139184730089001,10000.0,100000.0
prism_B_U238_060.00kgm3,60.0,550000.0,0.0004770002138944,100000.0,1000000.0
prism_B_U238_060.00kgm3,60.0,5500000.0,8.976175803650501e-05,1000000.0,10000000.0
prism_B_U238_060.00kgm3,60.0,55000000.0,7.772514843265695e-07,10000000.0,100000000.0
prism_B_U238_120.00kgm3,120.0,0.005,0.0,0.0,0.01
prism_B_U238_120.00kgm3,120.0,0.055,0.0,0.01,0.1
prism_B_U238_120.00kgm3,120.0,0.55,2.2126012499793862e-09,0.1,1.0
prism_B_U238_120.00kgm3,120.0,5.5,0.0002710303080293146,1.0,10.0
prism_B_U238_120.00kgm3,120.0,55.0,0.0049750643991215,10.0,100.0
prism_B_U238_120.00kgm3,120.0,550.0,0.0101877966591407,100.0,1000.0
prism_B_U238_120.00kgm3,120.0,5500.0,0.0056007398490298,1000.0,10000.0
prism_B_U238_120.00kgm3,120.0,55000.0,0.0026870153669147,10000.0,100000.0
prism_B_U238_120.00kgm3,120.0,550000.0,0.0009727250562163,100000.0,1000000.0
prism_B_U238_120.00kgm3,120.0,5500000.0,0.00018253667252556498,1000000.0,10000000.0
prism_B_U238_120.00kgm3,120.0,55000000.0,1.582214135654699e-06,10000000.0,100000000.0
prism_B_U238_250.00kgm3,250.0,0.005,0.0,0.0,0.01
prism_B_U238_250.00kgm3,250.0,0.055,0.0,0.01,0.1
prism_B_U238_250.00kgm3,250.0,0.55,7.134395563109283e-09,0.1,1.0
prism_B_U238_250.00kgm3,250.0,5.5,0.0004622099157787,1.0,10.0
prism_B_U238_250.00kgm3,250.0,55.0,0.009033233729925599,10.0,100.0
prism_B_U238_250.00kgm3,250.0,550.0,0.019721408795055,100.0,1000.0
prism_B_U238_250.00kgm3,250.0,5500.0,0.0114368707294424,1000.0,10000.0
prism_B_U238_250.00kgm3,250.0,55000.0,0.005541947299539799,10000.0,100000.0
prism_B_U238_250.00kgm3,250.0,550000.0,0.0019960148428451,100000.0,1000000.0
prism_B_U238_250.00kgm3,250.0,5500000.0,0.00037099110563810003,1000000.0,10000000.0
prism_B_U238_250.00kgm3,250.0,55000000.0,3.1099476239642286e-06,10000000.0,100000000.0
