filename,br_vol_m3,fertile_kg/m3,fertile_mt,energy mid [eV],mean
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0003925242578723,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0004016605831064,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0004110095638315,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0004205761497792,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0004303654058903,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0004403825149959,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0004506327805623,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0004611216294979,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.000471854615027,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0004828374196299,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0004940758580511,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0005055758803783,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0005173435751921,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0005293851727901,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.000541707048485,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0005543157259802,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0005672178808239,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0005804203439427,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0005939301052591,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0006077543173917,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0006219002994419,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0006363755408695,0.0
